Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
23.Sistema.MostrarInfoCliente,Edge Chromiume 18,,,2021-05-18 10:52:36,2021-05-18 10:55:50,"3m - 13,613s",PASSED
,,,,,,,
Test Cases/23.Sistema.MostrarInfoCliente Si,Edge Chromiume 18,,,2021-05-18 10:52:40,2021-05-18 10:54:31,"1m - 50,512s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Edge Chromiume 18,,,2021-05-18 10:52:42,2021-05-18 10:53:07,"25,293s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Edge Chromiume 18,,,2021-05-18 10:53:07,2021-05-18 10:53:14,"6,686s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:53:14,2021-05-18 10:53:17,"3,012s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Sistema""))",Edge Chromiume 18,,,2021-05-18 10:53:17,2021-05-18 10:53:18,"0,717s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:53:18,2021-05-18 10:53:21,"3,001s",PASSED
"click(findTestObject(""Configuracion/Sistema/1Principal/img_Parametros Generales""))",Edge Chromiume 18,,,2021-05-18 10:53:21,2021-05-18 10:53:21,"0,587s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:53:21,2021-05-18 10:53:24,"3,006s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Pestanas/a_Elementos de sistema""))",Edge Chromiume 18,,,2021-05-18 10:53:24,2021-05-18 10:53:25,"0,705s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:53:25,2021-05-18 10:53:28,"3,003s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_0filtro llave""))",Edge Chromiume 18,,,2021-05-18 10:53:28,2021-05-18 10:53:29,"0,810s",PASSED
"mouseOver(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_1Filtro""))",Edge Chromiume 18,,,2021-05-18 10:53:29,2021-05-18 10:53:30,"1,008s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/span_select""))",Edge Chromiume 18,,,2021-05-18 10:53:30,2021-05-18 10:53:31,"0,866s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/li_Contiene""))",Edge Chromiume 18,,,2021-05-18 10:53:31,2021-05-18 10:53:31,"0,706s",PASSED
"setText(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/input_Texto a buscar1""), ""Sistema.MostrarInfoCliente"")",Edge Chromiume 18,Buscar Sistema.MostrarInfoCliente,,2021-05-18 10:53:31,2021-05-18 10:53:33,"1,258s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/botones filtro/btn_Filtrar""))",Edge Chromiume 18,,,2021-05-18 10:53:33,2021-05-18 10:53:34,"0,966s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-18 10:53:34,2021-05-18 10:53:36,"2,002s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/a_Editar""))",Edge Chromiume 18,,,2021-05-18 10:53:36,2021-05-18 10:53:36,"0,666s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-18 10:53:36,2021-05-18 10:53:38,"2,007s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/input_Valor""), STOP_ON_FAILURE)",Edge Chromiume 18,Cambiamos a Si para mostrar y No para no mostrar,,2021-05-18 10:53:38,2021-05-18 10:53:39,"0,515s",PASSED
"sendKeys(findTestObject(null), ""Si"")",Edge Chromiume 18,,,2021-05-18 10:53:39,2021-05-18 10:53:40,"0,641s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-18 10:53:40,2021-05-18 10:53:42,"2,011s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/a_Guardar""))",Edge Chromiume 18,,,2021-05-18 10:53:42,2021-05-18 10:53:42,"0,550s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:53:42,2021-05-18 10:53:45,"3,005s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Edge Chromiume 18,,,2021-05-18 10:53:45,2021-05-18 10:53:46,"0,868s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:53:46,2021-05-18 10:53:49,"3,005s",PASSED
"click(findTestObject(""1Inicio/img_Operacion""))",Edge Chromiume 18,,,2021-05-18 10:53:49,2021-05-18 10:53:50,"0,652s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:53:50,2021-05-18 10:53:53,"3,008s",PASSED
"click(findTestObject(""2 Operacion/Elementos Del Sistema""))",Edge Chromiume 18,,,2021-05-18 10:53:53,2021-05-18 10:53:53,"0,454s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:53:53,2021-05-18 10:53:56,"3,004s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/img_Selectores""))",Edge Chromiume 18,,,2021-05-18 10:53:56,2021-05-18 10:53:57,"0,553s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:53:57,2021-05-18 10:54:00,"3,009s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/00Oficinas/a_Bogota - CIEL""))",Edge Chromiume 18,Escogemos oficina,,2021-05-18 10:54:00,2021-05-18 10:54:01,"0,913s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:54:01,2021-05-18 10:54:04,"3,005s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/0 Lista de Selectores/a_Abrir Selector""))",Edge Chromiume 18,Abrimos selector,,2021-05-18 10:54:04,2021-05-18 10:54:04,"0,564s",PASSED
delay(5),Edge Chromiume 18,,,2021-05-18 10:54:04,2021-05-18 10:54:09,"5,008s",PASSED
switchToWindowIndex(1),Edge Chromiume 18,,,2021-05-18 10:54:09,2021-05-18 10:54:10,"0,411s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:54:10,2021-05-18 10:54:13,"3,004s",PASSED
"selectOptionByIndex(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/Datos Usuario/select_Tipo Documento""), 2)",Edge Chromiume 18,Elegimos tipo de documento,,2021-05-18 10:54:13,2021-05-18 10:54:14,"1,507s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:54:14,2021-05-18 10:54:17,"3,001s",PASSED
"setText(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/Datos Usuario/input_Identificacion""), ""636711"")",Edge Chromiume 18,Insertamos numero,,2021-05-18 10:54:17,2021-05-18 10:54:18,"1,118s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:54:18,2021-05-18 10:54:21,"3,009s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/Datos Usuario/img_Buscar""))",Edge Chromiume 18,Abrimos selector,,2021-05-18 10:54:21,2021-05-18 10:54:22,"0,559s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:54:22,2021-05-18 10:54:25,"3,006s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/1 Datos basicos de selector/img_Cerrar selector""))",Edge Chromiume 18,,,2021-05-18 10:54:25,2021-05-18 10:54:25,"0,554s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:54:25,2021-05-18 10:54:28,"3,003s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/1 Datos basicos de selector/Motivos para cerrar selector/btn_FindeJornada""))",Edge Chromiume 18,,,2021-05-18 10:54:28,2021-05-18 10:54:29,"0,458s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-18 10:54:29,2021-05-18 10:54:31,"2,003s",PASSED
,,,,,,,
Test Cases/23.Sistema.MostrarInfoCliente No,Edge Chromiume 18,,,2021-05-18 10:54:31,2021-05-18 10:55:50,"1m - 18,426s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Edge Chromiume 18,,,2021-05-18 10:54:32,2021-05-18 10:54:47,"15,167s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Edge Chromiume 18,,,2021-05-18 10:54:47,2021-05-18 10:54:48,"0,660s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:54:48,2021-05-18 10:54:51,"3,002s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Sistema""))",Edge Chromiume 18,,,2021-05-18 10:54:51,2021-05-18 10:54:52,"0,491s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:54:52,2021-05-18 10:54:55,"3,011s",PASSED
"click(findTestObject(""Configuracion/Sistema/1Principal/img_Parametros Generales""))",Edge Chromiume 18,,,2021-05-18 10:54:55,2021-05-18 10:54:55,"0,442s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:54:55,2021-05-18 10:54:58,"3,005s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Pestanas/a_Elementos de sistema""))",Edge Chromiume 18,,,2021-05-18 10:54:58,2021-05-18 10:54:59,"0,660s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-18 10:54:59,2021-05-18 10:55:02,"3,003s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_0filtro llave""))",Edge Chromiume 18,,,2021-05-18 10:55:02,2021-05-18 10:55:02,"0,569s",PASSED
"mouseOver(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_1Filtro""))",Edge Chromiume 18,,,2021-05-18 10:55:02,2021-05-18 10:55:03,"0,887s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/span_select""))",Edge Chromiume 18,,,2021-05-18 10:55:03,2021-05-18 10:55:04,"0,698s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/li_Contiene""))",Edge Chromiume 18,,,2021-05-18 10:55:04,2021-05-18 10:55:04,"0,610s",PASSED
"setText(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/input_Texto a buscar1""), ""Sistema.MostrarInfoCliente"")",Edge Chromiume 18,Buscar Sistema.MostrarInfoCliente,,2021-05-18 10:55:04,2021-05-18 10:55:06,"1,252s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/botones filtro/btn_Filtrar""))",Edge Chromiume 18,,,2021-05-18 10:55:06,2021-05-18 10:55:06,"0,521s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-18 10:55:06,2021-05-18 10:55:08,"2,024s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/a_Editar""))",Edge Chromiume 18,,,2021-05-18 10:55:08,2021-05-18 10:55:09,"0,787s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-18 10:55:09,2021-05-18 10:55:11,"2,010s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/input_Valor""), STOP_ON_FAILURE)",Edge Chromiume 18,Cambiamos a Si para mostrar y No para no mostrar,,2021-05-18 10:55:11,2021-05-18 10:55:12,"0,489s",PASSED
"sendKeys(findTestObject(null), ""Si"")",Edge Chromiume 18,,,2021-05-18 10:55:12,2021-05-18 10:55:12,"0,547s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-18 10:55:12,2021-05-18 10:55:14,"2,001s",PASSED
