Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
44.CrearUsuario.CrearSelectores,Edge Chromiume 18,Proceso mostrando el resultado con Si y No,,2021-05-26 14:42:50,2021-05-26 14:47:28,"4m - 38,573s",PASSED
,,,,,,,
Test Cases/44.CrearUsuario.CrearSelectores No,Edge Chromiume 18,,,2021-05-26 14:42:55,2021-05-26 14:45:05,"2m - 10,351s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Edge Chromiume 18,,,2021-05-26 14:42:57,2021-05-26 14:43:14,"17,678s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Edge Chromiume 18,,,2021-05-26 14:43:14,2021-05-26 14:43:16,"1,210s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-26 14:43:16,2021-05-26 14:43:19,"3,002s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Sistema""))",Edge Chromiume 18,,,2021-05-26 14:43:19,2021-05-26 14:43:19,"0,547s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-26 14:43:19,2021-05-26 14:43:22,"3,002s",PASSED
"click(findTestObject(""Configuracion/Sistema/1Principal/img_Parametros Generales""))",Edge Chromiume 18,,,2021-05-26 14:43:22,2021-05-26 14:43:23,"0,603s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-26 14:43:23,2021-05-26 14:43:26,"3,008s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Pestanas/a_Usuarios""))",Edge Chromiume 18,Cambiar pestaña,,2021-05-26 14:43:26,2021-05-26 14:43:26,"0,716s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-26 14:43:27,2021-05-26 14:43:30,"3,005s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_0filtro llave""))",Edge Chromiume 18,,,2021-05-26 14:43:30,2021-05-26 14:43:30,"0,732s",PASSED
"mouseOver(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_1Filtro""))",Edge Chromiume 18,,,2021-05-26 14:43:30,2021-05-26 14:43:31,"0,993s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/span_select""))",Edge Chromiume 18,,,2021-05-26 14:43:31,2021-05-26 14:43:32,"0,875s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/li_Contiene""))",Edge Chromiume 18,,,2021-05-26 14:43:32,2021-05-26 14:43:33,"0,589s",PASSED
"setText(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/input_Texto a buscar1""), ""CrearUsuario.CrearSelectores"")",Edge Chromiume 18,CrearUsuario.CrearSelectores,,2021-05-26 14:43:33,2021-05-26 14:43:34,"1,212s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/botones filtro/btn_Filtrar""))",Edge Chromiume 18,,,2021-05-26 14:43:34,2021-05-26 14:43:35,"0,596s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-26 14:43:35,2021-05-26 14:43:37,"2,033s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/a_Editar""))",Edge Chromiume 18,,,2021-05-26 14:43:37,2021-05-26 14:43:37,"0,728s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-26 14:43:37,2021-05-26 14:43:39,"2,022s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/input_Valor""), STOP_ON_FAILURE)",Edge Chromiume 18,si o no,,2021-05-26 14:43:39,2021-05-26 14:43:40,"0,548s",PASSED
"sendKeys(findTestObject(null), ""No"")",Edge Chromiume 18,,,2021-05-26 14:43:40,2021-05-26 14:43:41,"0,669s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-26 14:43:41,2021-05-26 14:43:43,"2,002s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/a_Guardar""))",Edge Chromiume 18,,,2021-05-26 14:43:43,2021-05-26 14:43:43,"0,651s",PASSED
