Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
46.CrearUsuario.CrearTerminales,Edge Chromiume 18,Proceso con las opciones de Si y No,,2021-05-28 11:42:38,2021-05-28 11:47:55,"5m - 17,238s",PASSED
,,,,,,,
Test Cases/46.CrearUsuario.CrearTerminales No,Edge Chromiume 18,,,2021-05-28 11:42:49,2021-05-28 11:45:30,"2m - 40,800s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Edge Chromiume 18,,,2021-05-28 11:42:52,2021-05-28 11:43:26,"34,055s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Edge Chromiume 18,,,2021-05-28 11:43:26,2021-05-28 11:43:28,"1,719s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-28 11:43:28,2021-05-28 11:43:31,"3,008s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Sistema""))",Edge Chromiume 18,,,2021-05-28 11:43:31,2021-05-28 11:43:32,"0,716s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-28 11:43:32,2021-05-28 11:43:35,"3,006s",PASSED
"click(findTestObject(""Configuracion/Sistema/1Principal/img_Parametros Generales""))",Edge Chromiume 18,,,2021-05-28 11:43:35,2021-05-28 11:43:35,"0,682s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-28 11:43:35,2021-05-28 11:43:39,"3,017s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Pestanas/a_Usuarios""))",Edge Chromiume 18,Cambiar pestaña,,2021-05-28 11:43:39,2021-05-28 11:43:40,"1,021s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-28 11:43:40,2021-05-28 11:43:43,"3,012s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_0filtro llave""))",Edge Chromiume 18,,,2021-05-28 11:43:43,2021-05-28 11:43:44,"1,152s",PASSED
