Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
21.Selector.AbrirSelectorPopUp,Edge Chromiume 18,Proceso para abrir el selector 0=PopUp y 1=emergente,,2021-05-28 13:57:35,2021-05-28 14:01:28,"3m - 53,259s",FAILED
,,,,,,,
Test Cases/21.Selector.AbrirSelectorPopUp1,Edge Chromiume 18,,,2021-05-28 13:57:46,2021-05-28 13:59:39,"1m - 53,502s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Edge Chromiume 18,,,2021-05-28 13:57:48,2021-05-28 13:58:15,"26,991s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Edge Chromiume 18,,,2021-05-28 13:58:15,2021-05-28 13:58:17,"1,511s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-28 13:58:17,2021-05-28 13:58:20,"3,011s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Sistema""))",Edge Chromiume 18,,,2021-05-28 13:58:20,2021-05-28 13:58:20,"0,793s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-28 13:58:20,2021-05-28 13:58:23,"3,006s",PASSED
"click(findTestObject(""Configuracion/Sistema/1Principal/img_Parametros Generales""))",Edge Chromiume 18,,,2021-05-28 13:58:23,2021-05-28 13:58:24,"0,836s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-28 13:58:24,2021-05-28 13:58:27,"3,009s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Pestanas/a_Elementos de sistema""))",Edge Chromiume 18,,,2021-05-28 13:58:27,2021-05-28 13:58:28,"1,038s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-28 13:58:28,2021-05-28 13:58:31,"3,013s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_0filtro llave""))",Edge Chromiume 18,,,2021-05-28 13:58:31,2021-05-28 13:58:32,"1,016s",PASSED
"mouseOver(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_1Filtro""))",Edge Chromiume 18,,,2021-05-28 13:58:32,2021-05-28 13:58:34,"1,576s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/span_select""))",Edge Chromiume 18,,,2021-05-28 13:58:34,2021-05-28 13:58:35,"1,188s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/li_Contiene""))",Edge Chromiume 18,,,2021-05-28 13:58:35,2021-05-28 13:58:36,"1,049s",PASSED
"setText(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/input_Texto a buscar1""), ""Selector.Abrir"")",Edge Chromiume 18,Buscar la selector Popup,,2021-05-28 13:58:36,2021-05-28 13:58:38,"1,596s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/botones filtro/btn_Filtrar""))",Edge Chromiume 18,,,2021-05-28 13:58:38,2021-05-28 13:58:39,"0,996s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-28 13:58:39,2021-05-28 13:58:41,"2,009s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/a_Editar""))",Edge Chromiume 18,,,2021-05-28 13:58:41,2021-05-28 13:58:42,"0,943s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-28 13:58:42,2021-05-28 13:58:44,"2,005s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/input_Valor""), STOP_ON_FAILURE)",Edge Chromiume 18,Cambiamos a 1= ventana emergente,,2021-05-28 13:58:44,2021-05-28 13:58:44,"0,820s",PASSED
"sendKeys(findTestObject(null), ""1"")",Edge Chromiume 18,,,2021-05-28 13:58:44,2021-05-28 13:58:45,"0,675s",PASSED
delay(2),Edge Chromiume 18,,,2021-05-28 13:58:45,2021-05-28 13:58:47,"2,002s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/a_Guardar""))",Edge Chromiume 18,,,2021-05-28 13:58:47,2021-05-28 13:58:48,"0,945s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-28 13:58:48,2021-05-28 13:58:51,"3,018s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Edge Chromiume 18,,,2021-05-28 13:58:51,2021-05-28 13:58:52,"0,973s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-28 13:58:52,2021-05-28 13:58:55,"3,023s",PASSED
"callTestCase(findTestCase(""0 Generar Turno Ventana Emergente""), [:], STOP_ON_FAILURE)",Edge Chromiume 18,Para abrir el selector y generar un turno,,2021-05-28 13:58:55,2021-05-28 13:59:39,"43,912s",PASSED
,,,,,,,
Test Cases/21.Selector.AbrirSelectorPopUp0,Edge Chromiume 18,,,2021-05-28 13:59:39,2021-05-28 14:01:28,"1m - 48,558s",FAILED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Edge Chromiume 18,,,2021-05-28 13:59:42,2021-05-28 14:00:09,"26,722s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Edge Chromiume 18,,,2021-05-28 14:00:09,2021-05-28 14:00:10,"1,351s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-28 14:00:10,2021-05-28 14:00:13,"3,006s",PASSED
