Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
64.UsuarioCliente.Destino,Edge Chromiume 18,"INdica el destino del usuario cliente. 0=turno, 1=servicio. Con 0 al colocar datos del usuario éstos se conservarán al realizar una nueva transacción.",,2021-05-31 11:50:19,2021-05-31 11:54:11,"3m - 51,500s",PASSED
,,,,,,,
Test Cases/64.UsuarioCliente.Destino 0Turno,Edge Chromiume 18,,,2021-05-31 11:50:24,2021-05-31 11:52:22,"1m - 58,379s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Edge Chromiume 18,,,2021-05-31 11:50:26,2021-05-31 11:50:44,"18,262s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Edge Chromiume 18,,,2021-05-31 11:50:44,2021-05-31 11:50:45,"0,622s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-31 11:50:45,2021-05-31 11:50:48,"3,013s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Sistema""))",Edge Chromiume 18,,,2021-05-31 11:50:48,2021-05-31 11:50:48,"0,496s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-31 11:50:48,2021-05-31 11:50:51,"3,009s",PASSED
"click(findTestObject(""Configuracion/Sistema/1Principal/img_Parametros Generales""))",Edge Chromiume 18,,,2021-05-31 11:50:51,2021-05-31 11:50:52,"0,471s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-31 11:50:52,2021-05-31 11:50:55,"3,006s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Pestanas/a_Elementos de sistema""))",Edge Chromiume 18,Cambiar pestaña,,2021-05-31 11:50:55,2021-05-31 11:50:55,"0,623s",PASSED
delay(3),Edge Chromiume 18,,,2021-05-31 11:50:55,2021-05-31 11:50:58,"3,008s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_0filtro llave""))",Edge Chromiume 18,,,2021-05-31 11:50:58,2021-05-31 11:50:59,"0,661s",PASSED
"mouseOver(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_1Filtro""))",Edge Chromiume 18,,,2021-05-31 11:50:59,2021-05-31 11:51:00,"0,946s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/span_select""))",Edge Chromiume 18,,,2021-05-31 11:51:00,2021-05-31 11:51:01,"0,689s",PASSED
