Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
81.Sistema.Terminal.TipoDeControlBuscar,Edge Chromiume 18,Proceso para mostrar la búsqueda de turnos en foma de Grilla o Basico.,,2021-06-01 13:01:59,2021-06-01 13:05:41,"3m - 42,598s",PASSED
,,,,,,,
Test Cases/81.Sistema.Terminal.TipoDeControlBuscar Basico,Edge Chromiume 18,,,2021-06-01 13:02:04,2021-06-01 13:04:06,"2m - 1,984s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Edge Chromiume 18,,,2021-06-01 13:02:06,2021-06-01 13:02:42,"35,531s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Edge Chromiume 18,,,2021-06-01 13:02:42,2021-06-01 13:02:44,"2,210s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-01 13:02:44,2021-06-01 13:02:47,"3,017s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Sistema""))",Edge Chromiume 18,,,2021-06-01 13:02:47,2021-06-01 13:02:48,"0,637s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-01 13:02:48,2021-06-01 13:02:51,"3,024s",PASSED
"click(findTestObject(""Configuracion/Sistema/1Principal/img_Parametros Generales""))",Edge Chromiume 18,,,2021-06-01 13:02:51,2021-06-01 13:02:52,"0,743s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-01 13:02:52,2021-06-01 13:02:55,"3,144s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Pestanas/a_Elementos de sistema""))",Edge Chromiume 18,Cambiar pestaña,,2021-06-01 13:02:55,2021-06-01 13:02:56,"1,171s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-01 13:02:56,2021-06-01 13:02:59,"3,009s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_0filtro llave""))",Edge Chromiume 18,,,2021-06-01 13:02:59,2021-06-01 13:03:00,"0,846s",PASSED
"mouseOver(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_1Filtro""))",Edge Chromiume 18,,,2021-06-01 13:03:00,2021-06-01 13:03:01,"1,265s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/span_select""))",Edge Chromiume 18,,,2021-06-01 13:03:01,2021-06-01 13:03:02,"1,039s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/li_Contiene""))",Edge Chromiume 18,,,2021-06-01 13:03:02,2021-06-01 13:03:03,"0,902s",PASSED
"setText(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/input_Texto a buscar1""), ""Sistema.Terminal.TipoDeControlBuscar"")",Edge Chromiume 18,CubosOlap.FechaPersonalizadaIlimitada,,2021-06-01 13:03:03,2021-06-01 13:03:04,"1,408s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/botones filtro/btn_Filtrar""))",Edge Chromiume 18,,,2021-06-01 13:03:04,2021-06-01 13:03:05,"0,997s",PASSED
delay(2),Edge Chromiume 18,,,2021-06-01 13:03:05,2021-06-01 13:03:07,"2,006s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/a_Editar""))",Edge Chromiume 18,,,2021-06-01 13:03:07,2021-06-01 13:03:08,"0,800s",PASSED
delay(2),Edge Chromiume 18,,,2021-06-01 13:03:08,2021-06-01 13:03:10,"2,013s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/input_Valor""), STOP_ON_FAILURE)",Edge Chromiume 18,Basico o Grilla,,2021-06-01 13:03:10,2021-06-01 13:03:11,"0,630s",PASSED
"sendKeys(findTestObject(null), ""Basico"")",Edge Chromiume 18,,,2021-06-01 13:03:11,2021-06-01 13:03:12,"0,746s",PASSED
delay(2),Edge Chromiume 18,,,2021-06-01 13:03:12,2021-06-01 13:03:14,"2,007s",PASSED
