Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
70.CubosOlap.FechaPersonalizadaIlimitada,Edge Chromiume 18,,,2021-06-01 14:44:47,2021-06-01 14:47:56,"3m - 9,870s",PASSED
,,,,,,,
Test Cases/70.CubosOLAP.FechaPersonalizadaIlimitada No,Edge Chromiume 18,,,2021-06-01 14:44:52,2021-06-01 14:46:34,"1m - 42,246s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Edge Chromiume 18,,,2021-06-01 14:44:54,2021-06-01 14:45:27,"33,155s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Edge Chromiume 18,,,2021-06-01 14:45:27,2021-06-01 14:45:29,"1,887s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-01 14:45:29,2021-06-01 14:45:32,"3,017s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Sistema""))",Edge Chromiume 18,,,2021-06-01 14:45:32,2021-06-01 14:45:33,"0,591s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-01 14:45:33,2021-06-01 14:45:36,"3,015s",PASSED
"click(findTestObject(""Configuracion/Sistema/1Principal/img_Parametros Generales""))",Edge Chromiume 18,,,2021-06-01 14:45:36,2021-06-01 14:45:36,"0,652s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-01 14:45:36,2021-06-01 14:45:40,"3,157s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Pestanas/a_Sistema""))",Edge Chromiume 18,Cambiar pestaña,,2021-06-01 14:45:40,2021-06-01 14:45:41,"1,039s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-01 14:45:41,2021-06-01 14:45:44,"3,009s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_0filtro llave""))",Edge Chromiume 18,,,2021-06-01 14:45:44,2021-06-01 14:45:45,"0,869s",PASSED
"mouseOver(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_1Filtro""))",Edge Chromiume 18,,,2021-06-01 14:45:45,2021-06-01 14:45:46,"1,362s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/span_select""))",Edge Chromiume 18,,,2021-06-01 14:45:46,2021-06-01 14:45:47,"0,980s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/li_Contiene""))",Edge Chromiume 18,,,2021-06-01 14:45:47,2021-06-01 14:45:48,"0,920s",PASSED
"setText(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/input_Texto a buscar1""), ""CubosOlap.FechaPersonalizadaIlimitada"")",Edge Chromiume 18,CubosOlap.FechaPersonalizadaIlimitada,,2021-06-01 14:45:48,2021-06-01 14:45:49,"1,417s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/botones filtro/btn_Filtrar""))",Edge Chromiume 18,,,2021-06-01 14:45:49,2021-06-01 14:45:50,"0,771s",PASSED
