Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
99.Sistema.Login.Intentos.Limite,Chrome 91.0.4472.77,Se verifica el numero de intentos para bloquear el ingreso,,2021-06-08 15:33:08,2021-06-08 15:34:46,"1m - 38,737s",PASSED
,,,,,,,
Test Cases/99.Sistema.Login.Intentos.Limite,Chrome 91.0.4472.77,,,2021-06-08 15:33:13,2021-06-08 15:34:46,"1m - 33,315s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.77,,,2021-06-08 15:33:15,2021-06-08 15:33:38,"23,406s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.77,,,2021-06-08 15:33:38,2021-06-08 15:33:45,"7,066s",PASSED
delay(3),Chrome 91.0.4472.77,,,2021-06-08 15:33:45,2021-06-08 15:33:48,"3,013s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Sistema""))",Chrome 91.0.4472.77,,,2021-06-08 15:33:48,2021-06-08 15:33:50,"1,691s",PASSED
delay(3),Chrome 91.0.4472.77,,,2021-06-08 15:33:50,2021-06-08 15:33:53,"3,009s",PASSED
"click(findTestObject(""Configuracion/Sistema/1Principal/img_Parametros Generales""))",Chrome 91.0.4472.77,,,2021-06-08 15:33:53,2021-06-08 15:33:56,"2,717s",PASSED
delay(3),Chrome 91.0.4472.77,,,2021-06-08 15:33:56,2021-06-08 15:33:59,"3,009s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Pestanas/a_Usuarios""))",Chrome 91.0.4472.77,Cambiar pestaña,,2021-06-08 15:33:59,2021-06-08 15:34:00,"0,703s",PASSED
delay(3),Chrome 91.0.4472.77,,,2021-06-08 15:34:00,2021-06-08 15:34:03,"3,013s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_0filtro llave""))",Chrome 91.0.4472.77,,,2021-06-08 15:34:03,2021-06-08 15:34:03,"0,808s",PASSED
"mouseOver(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_1Filtro""))",Chrome 91.0.4472.77,,,2021-06-08 15:34:03,2021-06-08 15:34:05,"1,366s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/span_select""))",Chrome 91.0.4472.77,,,2021-06-08 15:34:05,2021-06-08 15:34:06,"0,873s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/li_Contiene""))",Chrome 91.0.4472.77,,,2021-06-08 15:34:06,2021-06-08 15:34:06,"0,813s",PASSED
"setText(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/input_Texto a buscar1""), ""Sistema.Login.Intentos.Limite"")",Chrome 91.0.4472.77,Sistema.Login.Intentos.Limite,,2021-06-08 15:34:06,2021-06-08 15:34:08,"1,437s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/botones filtro/btn_Filtrar""))",Chrome 91.0.4472.77,,,2021-06-08 15:34:08,2021-06-08 15:34:09,"0,862s",PASSED
delay(2),Chrome 91.0.4472.77,,,2021-06-08 15:34:09,2021-06-08 15:34:11,"2,011s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/a_Editar""))",Chrome 91.0.4472.77,,,2021-06-08 15:34:11,2021-06-08 15:34:12,"1,147s",PASSED
delay(2),Chrome 91.0.4472.77,,,2021-06-08 15:34:12,2021-06-08 15:34:14,"2,006s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/input_Valor""), STOP_ON_FAILURE)",Chrome 91.0.4472.77,0=sin limite; número otra cantidad de intentos,,2021-06-08 15:34:14,2021-06-08 15:34:15,"0,698s",PASSED
"sendKeys(findTestObject(null), ""1"")",Chrome 91.0.4472.77,,,2021-06-08 15:34:15,2021-06-08 15:34:15,"0,531s",PASSED
