Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
106.Terminal.RequerirMotivoEnCierreMasivo,Edge Chromiume 18,Al colocar paraámetro en No Permitirá cerrar la terminal con el boton cambvio de estado a cerrado sin solicitar motivo de cierre.,,2021-06-09 15:31:26,2021-06-09 15:32:54,"1m - 27,520s",PASSED
,,,,,,,
Test Cases/106.Terminal.RequerirMotivoEnCierreMasivo,Edge Chromiume 18,,,2021-06-09 15:31:31,2021-06-09 15:32:54,"1m - 22,942s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Edge Chromiume 18,,,2021-06-09 15:31:33,2021-06-09 15:31:49,"16,321s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Edge Chromiume 18,,,2021-06-09 15:31:49,2021-06-09 15:31:50,"0,759s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-09 15:31:50,2021-06-09 15:31:53,"3,005s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Sistema""))",Edge Chromiume 18,,,2021-06-09 15:31:53,2021-06-09 15:31:53,"0,442s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-09 15:31:53,2021-06-09 15:31:56,"3,003s",PASSED
"click(findTestObject(""Configuracion/Sistema/1Principal/img_Parametros Generales""))",Edge Chromiume 18,,,2021-06-09 15:31:56,2021-06-09 15:31:57,"0,419s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-09 15:31:57,2021-06-09 15:32:00,"3,003s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Pestanas/a_Elementos de sistema""))",Edge Chromiume 18,Cambiar pestaña,,2021-06-09 15:32:00,2021-06-09 15:32:00,"0,634s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-09 15:32:00,2021-06-09 15:32:03,"3,002s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_0filtro llave""))",Edge Chromiume 18,,,2021-06-09 15:32:03,2021-06-09 15:32:04,"0,634s",PASSED
"mouseOver(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtros LLave/span_1Filtro""))",Edge Chromiume 18,,,2021-06-09 15:32:04,2021-06-09 15:32:05,"1,035s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/span_select""))",Edge Chromiume 18,,,2021-06-09 15:32:05,2021-06-09 15:32:06,"0,909s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/li_Contiene""))",Edge Chromiume 18,,,2021-06-09 15:32:06,2021-06-09 15:32:06,"0,682s",PASSED
"setText(findTestObject(""Configuracion/Sistema/Parametros Generales/Filtro 1er valor/input_Texto a buscar1""), ""Terminal.RequerirMotivoEnCierreMasivo"")",Edge Chromiume 18,Terminal.RequerirMotivoEnCierreMasivo,,2021-06-09 15:32:06,2021-06-09 15:32:08,"1,183s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/botones filtro/btn_Filtrar""))",Edge Chromiume 18,,,2021-06-09 15:32:08,2021-06-09 15:32:08,"0,539s",PASSED
delay(2),Edge Chromiume 18,,,2021-06-09 15:32:08,2021-06-09 15:32:10,"2,023s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/a_Editar""))",Edge Chromiume 18,,,2021-06-09 15:32:10,2021-06-09 15:32:11,"0,634s",PASSED
delay(2),Edge Chromiume 18,,,2021-06-09 15:32:11,2021-06-09 15:32:13,"2,009s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/input_Valor""), STOP_ON_FAILURE)",Edge Chromiume 18,Cambiamos a Si= Habilitado; No=No habilitado,,2021-06-09 15:32:13,2021-06-09 15:32:13,"0,556s",PASSED
"sendKeys(findTestObject(null), ""No"")",Edge Chromiume 18,,,2021-06-09 15:32:13,2021-06-09 15:32:14,"0,537s",PASSED
delay(2),Edge Chromiume 18,,,2021-06-09 15:32:14,2021-06-09 15:32:16,"2,001s",PASSED
"click(findTestObject(""Configuracion/Sistema/Parametros Generales/Cambiar Parametro Valor/a_Guardar""))",Edge Chromiume 18,,,2021-06-09 15:32:16,2021-06-09 15:32:16,"0,548s",PASSED
delay(3),Edge Chromiume 18,,,2021-06-09 15:32:16,2021-06-09 15:32:19,"3,006s",PASSED
