Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1 Grupo Multillamado,Chrome 91.0.4472.106,,,2021-06-21 15:46:13,2021-06-21 15:48:07,"1m - 53,840s",PASSED
,,,,,,,
Test Cases/1 Grupo Multillamado,Chrome 91.0.4472.106,,,2021-06-21 15:46:16,2021-06-21 15:48:07,"1m - 51,412s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.106,,,2021-06-21 15:46:19,2021-06-21 15:47:02,"42,483s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.106,,,2021-06-21 15:47:02,2021-06-21 15:47:07,"5,054s",PASSED
delay(3),Chrome 91.0.4472.106,,,2021-06-21 15:47:07,2021-06-21 15:47:10,"3,008s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Distribucion Geografica""))",Chrome 91.0.4472.106,,,2021-06-21 15:47:10,2021-06-21 15:47:13,"3,496s",PASSED
delay(3),Chrome 91.0.4472.106,,,2021-06-21 15:47:13,2021-06-21 15:47:16,"3,012s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/1Principal/img_Grupos""))",Chrome 91.0.4472.106,,,2021-06-21 15:47:16,2021-06-21 15:47:22,"5,384s",PASSED
delay(3),Chrome 91.0.4472.106,,,2021-06-21 15:47:22,2021-06-21 15:47:25,"3,008s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Grupos/0Oficinas Emergente/a_Seleccionar""))",Chrome 91.0.4472.106,,,2021-06-21 15:47:25,2021-06-21 15:47:25,"0,614s",PASSED
delay(3),Chrome 91.0.4472.106,,,2021-06-21 15:47:25,2021-06-21 15:47:28,"3,007s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Grupos/Lista de Grupos/0General/a_Seleccionar""))",Chrome 91.0.4472.106,,,2021-06-21 15:47:28,2021-06-21 15:47:29,"0,588s",PASSED
delay(3),Chrome 91.0.4472.106,,,2021-06-21 15:47:29,2021-06-21 15:47:32,"3,006s",PASSED
"check(findTestObject(""Configuracion/Distribucion Geografica/Grupos/Edicion/input_Multillamado""))",Chrome 91.0.4472.106,,,2021-06-21 15:47:32,2021-06-21 15:47:33,"0,533s",PASSED
delay(3),Chrome 91.0.4472.106,,,2021-06-21 15:47:33,2021-06-21 15:47:36,"3,004s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Grupos/Botones/img_Actualizar""))",Chrome 91.0.4472.106,,,2021-06-21 15:47:36,2021-06-21 15:47:38,"2,250s",PASSED
delay(3),Chrome 91.0.4472.106,,,2021-06-21 15:47:38,2021-06-21 15:47:41,"3,005s",PASSED
"navigateToUrl(""http://localhost:8810/Paginas/Operacion/ElementosSistema/Terminales.aspx"")",Chrome 91.0.4472.106,,,2021-06-21 15:47:41,2021-06-21 15:47:43,"1,875s",PASSED
delay(3),Chrome 91.0.4472.106,,,2021-06-21 15:47:43,2021-06-21 15:47:46,"3,013s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/00Oficinas/a_Bogota - CIEL""))",Chrome 91.0.4472.106,,,2021-06-21 15:47:46,2021-06-21 15:47:47,"1,095s",PASSED
delay(3),Chrome 91.0.4472.106,,,2021-06-21 15:47:47,2021-06-21 15:47:50,"3,008s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Grupos de Terminales Multillamado/a_Abrir""))",Chrome 91.0.4472.106,,,2021-06-21 15:47:50,2021-06-21 15:47:52,"2,633s",PASSED
delay(3),Chrome 91.0.4472.106,,,2021-06-21 15:47:52,2021-06-21 15:47:55,"3,010s",PASSED
switchToWindowIndex(1),Chrome 91.0.4472.106,,,2021-06-21 15:47:55,2021-06-21 15:47:56,"0,420s",PASSED
delay(3),Chrome 91.0.4472.106,,,2021-06-21 15:47:56,2021-06-21 15:47:59,"3,007s",PASSED
takeFullPageScreenshot(),Chrome 91.0.4472.106,,,2021-06-21 15:47:59,2021-06-21 15:48:04,"5,291s",PASSED
delay(3),Chrome 91.0.4472.106,,,2021-06-21 15:48:04,2021-06-21 15:48:07,"3,012s",PASSED
