Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1 Reclasificar Turnos en la actual,Chrome 91.0.4472.124,,,2021-06-28 15:54:15,2021-06-28 15:57:33,"3m - 18,297s",PASSED
,,,,,,,
Test Cases/1 Reclasificar Turnos en la actual,Chrome 91.0.4472.124,,,2021-06-28 15:54:16,2021-06-28 15:57:33,"3m - 17,267s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.124,,,2021-06-28 15:54:18,2021-06-28 15:54:39,"21,802s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.124,,,2021-06-28 15:54:39,2021-06-28 15:54:41,"1,296s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-28 15:54:41,2021-06-28 15:54:44,"3,004s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Distribucion Geografica""))",Chrome 91.0.4472.124,,,2021-06-28 15:54:44,2021-06-28 15:54:45,"1,458s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-28 15:54:45,2021-06-28 15:54:48,"3,005s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/1Principal/img_Grupos""))",Chrome 91.0.4472.124,,,2021-06-28 15:54:48,2021-06-28 15:54:50,"1,638s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-28 15:54:50,2021-06-28 15:54:53,"3,009s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Grupos/0Oficinas Emergente/a_Seleccionar""))",Chrome 91.0.4472.124,,,2021-06-28 15:54:53,2021-06-28 15:54:54,"0,810s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-28 15:54:54,2021-06-28 15:54:57,"3,007s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Grupos/Lista de Grupos/0General/a_Seleccionar""))",Chrome 91.0.4472.124,Grupo Información,,2021-06-28 15:54:57,2021-06-28 15:54:57,"0,784s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-28 15:54:57,2021-06-28 15:55:00,"3,004s",PASSED
"selectOptionByLabel(findTestObject(""Configuracion/Distribucion Geografica/Grupos/Edicion/select_ReclasificarTurnosEnActual""), ""Sala"", false)",Chrome 91.0.4472.124,,,2021-06-28 15:55:00,2021-06-28 15:55:01,"0,859s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-28 15:55:01,2021-06-28 15:55:04,"3,006s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Grupos/Botones/img_Actualizar""))",Chrome 91.0.4472.124,,,2021-06-28 15:55:04,2021-06-28 15:55:05,"0,595s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-28 15:55:05,2021-06-28 15:55:08,"3,007s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 91.0.4472.124,,,2021-06-28 15:55:08,2021-06-28 15:55:09,"0,992s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-28 15:55:09,2021-06-28 15:55:12,"3,005s",PASSED
"click(findTestObject(""1Inicio/img_Operacion""))",Chrome 91.0.4472.124,,,2021-06-28 15:55:12,2021-06-28 15:55:13,"0,784s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-28 15:55:13,2021-06-28 15:55:16,"3,009s",PASSED
"click(findTestObject(""2 Operacion/Elementos Del Sistema""))",Chrome 91.0.4472.124,,,2021-06-28 15:55:16,2021-06-28 15:55:17,"0,870s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-28 15:55:17,2021-06-28 15:55:20,"3,008s",PASSED
