Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1 Nivel de Visualizacion del arbol de la jerarquia en nuevo servicio,Chrome 91.0.4472.124,,,2021-06-30 13:45:04,2021-06-30 13:47:42,"2m - 37,677s",FAILED
,,,,,,,
Test Cases/1 Nivel de Visualizacion del arbol de la jerarquia en nuevo servicio,Chrome 91.0.4472.124,,,2021-06-30 13:45:05,2021-06-30 13:47:42,"2m - 36,338s",FAILED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.124,,,2021-06-30 13:45:08,2021-06-30 13:45:45,"36,776s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.124,,,2021-06-30 13:45:45,2021-06-30 13:45:54,"9,839s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-30 13:45:54,2021-06-30 13:45:57,"3,005s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Distribucion Geografica""))",Chrome 91.0.4472.124,,,2021-06-30 13:45:57,2021-06-30 13:46:00,"2,964s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-30 13:46:00,2021-06-30 13:46:03,"3,008s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/1Principal/img_Grupos""))",Chrome 91.0.4472.124,,,2021-06-30 13:46:03,2021-06-30 13:46:07,"3,974s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-30 13:46:07,2021-06-30 13:46:10,"3,005s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Grupos/0Oficinas Emergente/a_Seleccionar""))",Chrome 91.0.4472.124,,,2021-06-30 13:46:10,2021-06-30 13:46:11,"0,972s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-30 13:46:11,2021-06-30 13:46:14,"3,007s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Grupos/Lista de Grupos/0General/a_Seleccionar""))",Chrome 91.0.4472.124,Grupo Información,,2021-06-30 13:46:14,2021-06-30 13:46:15,"1,001s",PASSED
"scrollToPosition(10, 800)",Chrome 91.0.4472.124,,,2021-06-30 13:46:15,2021-06-30 13:46:16,"0,191s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-06-30 13:46:16,2021-06-30 13:46:19,"3,008s",PASSED
"selectOptionByLabel(findTestObject(""Configuracion/Distribucion Geografica/Grupos/Edicion/select_NivelVisualizacionenNuevoServicio""), ""Todos"", false)",Chrome 91.0.4472.124,,,2021-06-30 13:46:19,2021-06-30 13:46:20,"1,187s",PASSED
