Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Visible en Terminal,Chrome 91.0.4472.124,,,2021-07-09 11:56:06,2021-07-09 11:58:48,"2m - 41,586s",PASSED
,,,,,,,
Test Cases/0 Información clientes/Visible en Terminal,Chrome 91.0.4472.124,,,2021-07-09 11:56:08,2021-07-09 11:58:48,"2m - 39,813s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.124,,,2021-07-09 11:56:10,2021-07-09 11:56:38,"27,791s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.124,,,2021-07-09 11:56:38,2021-07-09 11:56:40,"1,651s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-09 11:56:40,2021-07-09 11:56:43,"3,009s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Datos Complementarios""))",Chrome 91.0.4472.124,,,2021-07-09 11:56:43,2021-07-09 11:56:44,"1,434s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-09 11:56:44,2021-07-09 11:56:47,"3,013s",PASSED
"click(findTestObject(""Configuracion/Datos Complementarios/img_Informacion Clientes""))",Chrome 91.0.4472.124,,,2021-07-09 11:56:47,2021-07-09 11:56:49,"1,811s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-09 11:56:49,2021-07-09 11:56:52,"3,010s",PASSED
"selectOptionByIndex(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/select_OrigenDeCliente""), 1)",Chrome 91.0.4472.124,,,2021-07-09 11:56:52,2021-07-09 11:56:53,"1,341s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-09 11:56:53,2021-07-09 11:56:56,"3,012s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/1Visible en terminal/chk_1Tipo Identificacion""))",Chrome 91.0.4472.124,,,2021-07-09 11:56:56,2021-07-09 11:56:57,"0,608s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/1Visible en terminal/chk_2Identificacion""))",Chrome 91.0.4472.124,,,2021-07-09 11:56:57,2021-07-09 11:56:57,"0,521s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/1Visible en terminal/chk_3Lugar de Expedicion""))",Chrome 91.0.4472.124,,,2021-07-09 11:56:57,2021-07-09 11:56:58,"0,662s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/1Visible en terminal/chk_4Primer nombre""))",Chrome 91.0.4472.124,,,2021-07-09 11:56:58,2021-07-09 11:56:59,"0,738s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/1Visible en terminal/chk_5Segundo nombre""))",Chrome 91.0.4472.124,,,2021-07-09 11:56:59,2021-07-09 11:57:00,"0,684s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/1Visible en terminal/chk_6Primer apellido""))",Chrome 91.0.4472.124,,,2021-07-09 11:57:00,2021-07-09 11:57:00,"0,669s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/1Visible en terminal/chk_7Segundo apellido""))",Chrome 91.0.4472.124,,,2021-07-09 11:57:00,2021-07-09 11:57:01,"0,641s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/1Visible en terminal/chk_8Direccion""))",Chrome 91.0.4472.124,,,2021-07-09 11:57:01,2021-07-09 11:57:01,"0,614s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/1Visible en terminal/chk_9Razon Social""))",Chrome 91.0.4472.124,,,2021-07-09 11:57:01,2021-07-09 11:57:02,"0,779s",PASSED
"scrollToPosition(0, 1200)",Chrome 91.0.4472.124,,,2021-07-09 11:57:02,2021-07-09 11:57:02,"0,128s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-09 11:57:02,2021-07-09 11:57:05,"3,007s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/1Visible en terminal/chk_10Telefono Trabajo""))",Chrome 91.0.4472.124,,,2021-07-09 11:57:05,2021-07-09 11:57:06,"0,888s",PASSED
