Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Requerido en Terminal,Chrome 91.0.4472.124,En el proceso se ingresan los datos de un usuario en la terminal sin ingresar el dato para segundo apellido.,,2021-07-12 11:07:15,2021-07-12 11:09:33,"2m - 17,505s",FAILED
,,,,,,,
Test Cases/0 Información clientes/Requerido en Terminal,Chrome 91.0.4472.124,,,2021-07-12 11:07:17,2021-07-12 11:09:33,"2m - 15,735s",FAILED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.124,,,2021-07-12 11:07:19,2021-07-12 11:07:50,"30,666s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.124,,,2021-07-12 11:07:50,2021-07-12 11:07:52,"2,624s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:07:52,2021-07-12 11:07:55,"3,006s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Datos Complementarios""))",Chrome 91.0.4472.124,,,2021-07-12 11:07:55,2021-07-12 11:07:57,"1,102s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:07:57,2021-07-12 11:08:00,"3,015s",PASSED
"click(findTestObject(""Configuracion/Datos Complementarios/img_Informacion Clientes""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:00,2021-07-12 11:08:01,"1,496s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:08:01,2021-07-12 11:08:04,"3,009s",PASSED
"selectOptionByIndex(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/select_OrigenDeCliente""), 1)",Chrome 91.0.4472.124,Terminal virtual D5,,2021-07-12 11:08:04,2021-07-12 11:08:06,"1,760s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:08:06,2021-07-12 11:08:09,"3,022s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/3Requerido en Terminal/chk_1Tipo Identificacion""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:09,2021-07-12 11:08:10,"1,546s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/3Requerido en Terminal/chk_2Identificacion""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:10,2021-07-12 11:08:11,"0,716s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/3Requerido en Terminal/chk_3Lugar de expedicion""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:11,2021-07-12 11:08:12,"0,571s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/3Requerido en Terminal/chk_4Primer nombre""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:12,2021-07-12 11:08:12,"0,634s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/3Requerido en Terminal/chk_5Segundo nombre""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:12,2021-07-12 11:08:13,"0,788s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/3Requerido en Terminal/chk_6Primer apellido""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:13,2021-07-12 11:08:14,"0,685s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/3Requerido en Terminal/chk_7Segundo apellido""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:14,2021-07-12 11:08:14,"0,622s",PASSED
"click(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/img_Actualizar""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:14,2021-07-12 11:08:15,"0,827s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:08:15,2021-07-12 11:08:18,"3,010s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:18,2021-07-12 11:08:21,"2,270s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:08:21,2021-07-12 11:08:24,"3,010s",PASSED
"click(findTestObject(""1Inicio/img_Operacion""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:24,2021-07-12 11:08:26,"1,970s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:08:26,2021-07-12 11:08:29,"3,017s",PASSED
"click(findTestObject(""2 Operacion/Elementos Del Sistema""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:29,2021-07-12 11:08:31,"2,225s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:08:31,2021-07-12 11:08:34,"3,010s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/img_Terminales""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:34,2021-07-12 11:08:36,"2,352s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:08:36,2021-07-12 11:08:39,"3,007s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/00Oficinas/a_Bogota - CIEL""))",Chrome 91.0.4472.124,Abrimos la Terminal,,2021-07-12 11:08:39,2021-07-12 11:08:40,"0,919s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:08:40,2021-07-12 11:08:43,"3,009s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/1Terminales menos WorkFlow/a_Terminal Informacion A01""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:43,2021-07-12 11:08:44,"1,409s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:08:44,2021-07-12 11:08:48,"3,027s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Basicas/img_Llamar""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:48,2021-07-12 11:08:51,"3,595s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:08:51,2021-07-12 11:08:54,"3,010s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Basicas/img_Ocupado""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:54,2021-07-12 11:08:56,"1,434s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 11:08:56,2021-07-12 11:08:59,"3,008s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Basicas/imgOcupado/a_Actualizacion de Datos""))",Chrome 91.0.4472.124,,,2021-07-12 11:08:59,2021-07-12 11:09:33,"34,124s",FAILED
