Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Editable en terminal,Chrome 91.0.4472.124,"Proceso en el cual se verifica con el campo segundo apellido, si es editable.",,2021-07-12 16:37:09,2021-07-12 16:40:01,"2m - 52,251s",PASSED
,,,,,,,
Test Cases/0 Información clientes/Editable en terminal,Chrome 91.0.4472.124,,,2021-07-12 16:37:10,2021-07-12 16:40:01,"2m - 50,594s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.124,,,2021-07-12 16:37:13,2021-07-12 16:37:46,"33,487s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.124,,,2021-07-12 16:37:46,2021-07-12 16:37:48,"1,901s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 16:37:48,2021-07-12 16:37:51,"3,159s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Datos Complementarios""))",Chrome 91.0.4472.124,,,2021-07-12 16:37:51,2021-07-12 16:37:53,"2,085s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 16:37:53,2021-07-12 16:37:56,"3,020s",PASSED
"click(findTestObject(""Configuracion/Datos Complementarios/img_Informacion Clientes""))",Chrome 91.0.4472.124,,,2021-07-12 16:37:56,2021-07-12 16:37:59,"2,419s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 16:37:59,2021-07-12 16:38:02,"3,113s",PASSED
"selectOptionByIndex(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/select_OrigenDeCliente""), 1)",Chrome 91.0.4472.124,Terminal virtual D5,,2021-07-12 16:38:02,2021-07-12 16:38:05,"2,598s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 16:38:05,2021-07-12 16:38:08,"3,045s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/5Editable en Terminal/chk_1Tipo Identificacion""))",Chrome 91.0.4472.124,,,2021-07-12 16:38:08,2021-07-12 16:38:09,"1,523s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/5Editable en Terminal/chk_2Identificacion""))",Chrome 91.0.4472.124,,,2021-07-12 16:38:09,2021-07-12 16:38:10,"0,693s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/5Editable en Terminal/chk_3Lugar de expedicion""))",Chrome 91.0.4472.124,,,2021-07-12 16:38:10,2021-07-12 16:38:11,"1,095s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/5Editable en Terminal/chk_4Primer nombre""))",Chrome 91.0.4472.124,,,2021-07-12 16:38:11,2021-07-12 16:38:12,"1,232s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/5Editable en Terminal/chk_5Segundo nombre""))",Chrome 91.0.4472.124,,,2021-07-12 16:38:12,2021-07-12 16:38:13,"0,887s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/5Editable en Terminal/chk_6Primer apellido""))",Chrome 91.0.4472.124,,,2021-07-12 16:38:13,2021-07-12 16:38:14,"0,774s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/5Editable en Terminal/chk_7Segundo apellido""))",Chrome 91.0.4472.124,,,2021-07-12 16:38:14,2021-07-12 16:38:14,"0,677s",PASSED
"click(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/img_Actualizar""))",Chrome 91.0.4472.124,,,2021-07-12 16:38:14,2021-07-12 16:38:15,"0,849s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-12 16:38:15,2021-07-12 16:38:18,"3,010s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 91.0.4472.124,,,2021-07-12 16:38:18,2021-07-12 16:38:21,"2,407s",PASSED
