Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Parámetro de búsqueda,Chrome 91.0.4472.124,,,2021-07-13 10:02:03,2021-07-13 10:04:09,"2m - 5,422s",PASSED
,,,,,,,
Test Cases/0 Información clientes/Parametro de busqueda,Chrome 91.0.4472.124,,,2021-07-13 10:02:05,2021-07-13 10:04:09,"2m - 3,899s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.124,,,2021-07-13 10:02:07,2021-07-13 10:02:37,"29,966s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.124,,,2021-07-13 10:02:37,2021-07-13 10:02:38,"1,684s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:02:38,2021-07-13 10:02:41,"3,013s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Datos Complementarios""))",Chrome 91.0.4472.124,,,2021-07-13 10:02:41,2021-07-13 10:02:44,"2,267s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:02:44,2021-07-13 10:02:47,"3,024s",PASSED
"click(findTestObject(""Configuracion/Datos Complementarios/img_Informacion Clientes""))",Chrome 91.0.4472.124,,,2021-07-13 10:02:47,2021-07-13 10:02:49,"2,703s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:02:49,2021-07-13 10:02:52,"3,010s",PASSED
"selectOptionByIndex(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/select_OrigenDeCliente""), 1)",Chrome 91.0.4472.124,Terminal virtual D5,,2021-07-13 10:02:52,2021-07-13 10:02:54,"1,960s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:02:54,2021-07-13 10:02:57,"3,032s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/7Parametro de Busqueda/chk_1Tipo Identificacion""))",Chrome 91.0.4472.124,,,2021-07-13 10:02:57,2021-07-13 10:02:58,"1,171s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/7Parametro de Busqueda/chk_2Identificacion""))",Chrome 91.0.4472.124,,,2021-07-13 10:02:58,2021-07-13 10:03:00,"1,482s",PASSED
"click(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/img_Actualizar""))",Chrome 91.0.4472.124,,,2021-07-13 10:03:00,2021-07-13 10:03:01,"1,242s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:03:01,2021-07-13 10:03:04,"3,010s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 91.0.4472.124,,,2021-07-13 10:03:04,2021-07-13 10:03:06,"2,088s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:03:06,2021-07-13 10:03:09,"3,015s",PASSED
"click(findTestObject(""1Inicio/img_Operacion""))",Chrome 91.0.4472.124,,,2021-07-13 10:03:09,2021-07-13 10:03:11,"1,762s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:03:11,2021-07-13 10:03:14,"3,045s",PASSED
"click(findTestObject(""2 Operacion/Elementos Del Sistema""))",Chrome 91.0.4472.124,,,2021-07-13 10:03:14,2021-07-13 10:03:16,"2,109s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:03:16,2021-07-13 10:03:19,"3,016s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/img_Terminales""))",Chrome 91.0.4472.124,,,2021-07-13 10:03:19,2021-07-13 10:03:21,"2,226s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:03:21,2021-07-13 10:03:24,"3,015s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/00Oficinas/a_Bogota - CIEL""))",Chrome 91.0.4472.124,Abrimos la Terminal,,2021-07-13 10:03:24,2021-07-13 10:03:26,"1,064s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:03:26,2021-07-13 10:03:29,"3,021s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/1Terminales menos WorkFlow/a_Terminal Informacion A01""))",Chrome 91.0.4472.124,,,2021-07-13 10:03:29,2021-07-13 10:03:30,"1,367s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:03:30,2021-07-13 10:03:33,"3,017s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Basicas/img_Llamar""))",Chrome 91.0.4472.124,,,2021-07-13 10:03:33,2021-07-13 10:03:35,"2,390s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:03:35,2021-07-13 10:03:38,"3,021s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Basicas/img_Ocupado""))",Chrome 91.0.4472.124,,,2021-07-13 10:03:38,2021-07-13 10:03:40,"1,523s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:03:40,2021-07-13 10:03:43,"3,034s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Basicas/imgOcupado/a_Actualizacion de Datos""))",Chrome 91.0.4472.124,,,2021-07-13 10:03:43,2021-07-13 10:03:44,"1,354s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:03:44,2021-07-13 10:03:47,"3,025s",PASSED
"selectOptionByIndex(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/0Campos/0Cliente/select_1TipoIdentificacion""), 2)",Chrome 91.0.4472.124,,,2021-07-13 10:03:47,2021-07-13 10:03:50,"2,521s",PASSED
"setText(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/0Campos/0Cliente/input_2Identificacion""), ""636711"")",Chrome 91.0.4472.124,,,2021-07-13 10:03:50,2021-07-13 10:03:53,"3,085s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Cliente/botones/img_Buscar""))",Chrome 91.0.4472.124,,,2021-07-13 10:03:53,2021-07-13 10:03:54,"1,333s",PASSED
takeFullPageScreenshot(),Chrome 91.0.4472.124,,,2021-07-13 10:03:54,2021-07-13 10:03:57,"2,243s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:03:57,2021-07-13 10:04:00,"3,014s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Basicas/img_Cerrar""))",Chrome 91.0.4472.124,,,2021-07-13 10:04:00,2021-07-13 10:04:01,"1,402s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:04:01,2021-07-13 10:04:04,"3,020s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Basicas/imgCerrar/btn_FindeJornada""))",Chrome 91.0.4472.124,,,2021-07-13 10:04:04,2021-07-13 10:04:06,"1,770s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-13 10:04:06,2021-07-13 10:04:09,"3,035s",PASSED
