Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Actualizable en terminal,Chrome 91.0.4472.124,"Proceso mediante el cual se realiza la selección de campos que serán actualizables en la terminal, posteriormente se cambia los mismos en un registro guardado con anterioridad.",,2021-07-14 09:47:37,2021-07-14 09:49:47,"2m - 10,550s",FAILED
,,,,,,,
Test Cases/0 Información clientes/Actualizable en Terminal,Chrome 91.0.4472.124,,,2021-07-14 09:47:38,2021-07-14 09:49:47,"2m - 9,144s",FAILED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.124,,,2021-07-14 09:47:41,2021-07-14 09:48:08,"27,976s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.124,,,2021-07-14 09:48:08,2021-07-14 09:48:10,"1,480s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-14 09:48:10,2021-07-14 09:48:13,"3,018s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Datos Complementarios""))",Chrome 91.0.4472.124,,,2021-07-14 09:48:13,2021-07-14 09:48:14,"1,228s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-14 09:48:14,2021-07-14 09:48:17,"3,026s",PASSED
"click(findTestObject(""Configuracion/Datos Complementarios/img_Informacion Clientes""))",Chrome 91.0.4472.124,,,2021-07-14 09:48:17,2021-07-14 09:48:19,"1,956s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-14 09:48:19,2021-07-14 09:48:22,"3,016s",PASSED
"selectOptionByIndex(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/select_OrigenDeCliente""), 1)",Chrome 91.0.4472.124,Terminal virtual D5,,2021-07-14 09:48:22,2021-07-14 09:48:24,"2,037s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-14 09:48:24,2021-07-14 09:48:27,"3,026s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/8Actualizable/chk_3Lugar de expedicion""))",Chrome 91.0.4472.124,,,2021-07-14 09:48:27,2021-07-14 09:48:28,"1,166s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/8Actualizable/chk_4Primer nombre""))",Chrome 91.0.4472.124,,,2021-07-14 09:48:28,2021-07-14 09:48:29,"0,961s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/8Actualizable/chk_5Segundo nombre""))",Chrome 91.0.4472.124,,,2021-07-14 09:48:29,2021-07-14 09:48:30,"1,035s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/8Actualizable/chk_6Primer apellido""))",Chrome 91.0.4472.124,,,2021-07-14 09:48:30,2021-07-14 09:48:31,"0,961s",PASSED
"check(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/8Actualizable/chk_7Segundo apellido""))",Chrome 91.0.4472.124,,,2021-07-14 09:48:31,2021-07-14 09:48:32,"0,988s",PASSED
