Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Permite Nulos en Terminal,Chrome 91.0.4472.124,,,2021-07-15 09:10:20,2021-07-15 09:13:01,"2m - 40,700s",PASSED
,,,,,,,
Test Cases/0 Información clientes/Permite Nulos en Terminal,Chrome 91.0.4472.124,,,2021-07-15 09:10:21,2021-07-15 09:13:01,"2m - 39,401s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.124,,,2021-07-15 09:10:23,2021-07-15 09:10:52,"28,581s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.124,,,2021-07-15 09:10:52,2021-07-15 09:10:53,"1,427s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-15 09:10:53,2021-07-15 09:10:56,"3,016s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Datos Complementarios""))",Chrome 91.0.4472.124,,,2021-07-15 09:10:56,2021-07-15 09:10:58,"1,817s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-15 09:10:58,2021-07-15 09:11:01,"3,022s",PASSED
"click(findTestObject(""Configuracion/Datos Complementarios/img_Informacion Clientes""))",Chrome 91.0.4472.124,,,2021-07-15 09:11:01,2021-07-15 09:11:03,"2,246s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-15 09:11:03,2021-07-15 09:11:06,"3,019s",PASSED
"selectOptionByIndex(findTestObject(""Configuracion/Datos Complementarios/Informacion Clientes/1 Parametros a mostrar del Cliente/Mostrar del Cliente/select_OrigenDeCliente""), 4)",Chrome 91.0.4472.124,CRM,,2021-07-15 09:11:06,2021-07-15 09:11:08,"2,188s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-15 09:11:08,2021-07-15 09:11:12,"3,020s",PASSED
