Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Campos Adicionales,Chrome 91.0.4472.124,,,2021-07-19 11:53:02,2021-07-19 11:55:30,"2m - 28,649s",PASSED
,,,,,,,
Test Cases/0 Información clientes/Campos Adicionales,Chrome 91.0.4472.124,,,2021-07-19 11:53:03,2021-07-19 11:55:30,"2m - 27,327s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.124,,,2021-07-19 11:53:05,2021-07-19 11:53:30,"24,678s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.124,,,2021-07-19 11:53:30,2021-07-19 11:53:31,"1,659s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-19 11:53:31,2021-07-19 11:53:34,"3,017s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Datos Complementarios""))",Chrome 91.0.4472.124,,,2021-07-19 11:53:34,2021-07-19 11:53:35,"0,940s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-19 11:53:35,2021-07-19 11:53:38,"3,019s",PASSED
"click(findTestObject(""Configuracion/Datos Complementarios/img_Campos Adicionales""))",Chrome 91.0.4472.124,,,2021-07-19 11:53:38,2021-07-19 11:53:40,"2,128s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-19 11:53:40,2021-07-19 11:53:43,"3,010s",PASSED
"click(findTestObject(""Configuracion/Datos Complementarios/Campos Adicionales/span_Grupos""))",Chrome 91.0.4472.124,,,2021-07-19 11:53:43,2021-07-19 11:53:44,"0,813s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-19 11:53:44,2021-07-19 11:53:47,"3,017s",PASSED
"click(findTestObject(""Configuracion/Datos Complementarios/Campos Adicionales/2Grupos/a_Seleccionar""))",Chrome 91.0.4472.124,,,2021-07-19 11:53:47,2021-07-19 11:53:48,"0,854s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-19 11:53:48,2021-07-19 11:53:51,"3,020s",PASSED
takeFullPageScreenshot(),Chrome 91.0.4472.124,,,2021-07-19 11:53:51,2021-07-19 11:53:54,"2,887s",PASSED
"scrollToPosition(0, 500)",Chrome 91.0.4472.124,,,2021-07-19 11:53:54,2021-07-19 11:53:54,"0,261s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-19 11:53:54,2021-07-19 11:53:57,"3,013s",PASSED
"scrollToPosition(0, 1200)",Chrome 91.0.4472.124,,,2021-07-19 11:53:57,2021-07-19 11:53:57,"0,109s",PASSED
delay(3),Chrome 91.0.4472.124,,,2021-07-19 11:53:57,2021-07-19 11:54:00,"3,025s",PASSED
