Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tipo Terminal,Chrome 91.0.4472.164,,,2021-07-21 17:16:55,2021-07-21 17:19:30,"2m - 35,333s",PASSED
,,,,,,,
Test Cases/0 Jornadas/Tipo Terminal,Chrome 91.0.4472.164,,,2021-07-21 17:16:56,2021-07-21 17:19:30,"2m - 34,109s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.164,,,2021-07-21 17:16:57,2021-07-21 17:17:27,"29,381s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.164,,,2021-07-21 17:17:27,2021-07-21 17:17:28,"1,547s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:17:28,2021-07-21 17:17:31,"3,012s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Jornadas de Atencion""))",Chrome 91.0.4472.164,,,2021-07-21 17:17:31,2021-07-21 17:17:34,"2,590s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:17:34,2021-07-21 17:17:37,"3,034s",PASSED
"click(findTestObject(""Configuracion/Jornadas de Atencion/0Oficinas Emergente/a_Seleccionar""))",Chrome 91.0.4472.164,,,2021-07-21 17:17:37,2021-07-21 17:17:38,"1,222s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:17:38,2021-07-21 17:17:41,"3,014s",PASSED
"setText(findTestObject(""Configuracion/Jornadas de Atencion/2Lista de Jornadas/input_TextoABuscar""), ""Terminal"")",Chrome 91.0.4472.164,Tipo de Jornada,,2021-07-21 17:17:41,2021-07-21 17:17:43,"1,601s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:17:43,2021-07-21 17:17:46,"3,041s",PASSED
"click(findTestObject(""Configuracion/Jornadas de Atencion/2Lista de Jornadas/a_Seleccionar""))",Chrome 91.0.4472.164,,,2021-07-21 17:17:46,2021-07-21 17:17:47,"1,271s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:17:47,2021-07-21 17:17:50,"3,027s",PASSED
"selectOptionByLabel(findTestObject(""Configuracion/Jornadas de Atencion/2Edicion/select_Tipo""), ""Terminal"", false)",Chrome 91.0.4472.164,Tipo de Jornada,,2021-07-21 17:17:50,2021-07-21 17:17:52,"1,444s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:17:52,2021-07-21 17:17:55,"3,016s",PASSED
"scrollToPosition(0, 0)",Chrome 91.0.4472.164,,,2021-07-21 17:17:55,2021-07-21 17:17:55,"0,252s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:17:55,2021-07-21 17:17:58,"3,022s",PASSED
"click(findTestObject(""Configuracion/Jornadas de Atencion/2Edicion/img_Actualizar2""))",Chrome 91.0.4472.164,,,2021-07-21 17:17:58,2021-07-21 17:17:59,"1,186s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:17:59,2021-07-21 17:18:02,"3,020s",PASSED
takeFullPageScreenshot(),Chrome 91.0.4472.164,,,2021-07-21 17:18:02,2021-07-21 17:18:05,"2,553s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:18:05,2021-07-21 17:18:08,"3,012s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 91.0.4472.164,Proceso para ver configuración de Terminal,,2021-07-21 17:18:08,2021-07-21 17:18:11,"3,103s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:18:11,2021-07-21 17:18:14,"3,030s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.164,,,2021-07-21 17:18:14,2021-07-21 17:18:16,"2,506s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:18:16,2021-07-21 17:18:19,"3,029s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Elementos del Sistema""))",Chrome 91.0.4472.164,,,2021-07-21 17:18:19,2021-07-21 17:18:22,"2,373s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:18:22,2021-07-21 17:18:25,"3,018s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/1Principal/img_Terminales""))",Chrome 91.0.4472.164,,,2021-07-21 17:18:25,2021-07-21 17:18:29,"3,766s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:18:29,2021-07-21 17:18:32,"3,020s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/Terminales/a_Seleccionar""))",Chrome 91.0.4472.164,,,2021-07-21 17:18:32,2021-07-21 17:18:33,"1,157s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:18:33,2021-07-21 17:18:36,"3,026s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/Terminales/2Lista Terminales/a_Seleccionar""))",Chrome 91.0.4472.164,,,2021-07-21 17:18:36,2021-07-21 17:18:37,"1,111s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:18:37,2021-07-21 17:18:40,"3,020s",PASSED
"scrollToPosition(0, 1200)",Chrome 91.0.4472.164,,,2021-07-21 17:18:40,2021-07-21 17:18:40,"0,107s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:18:40,2021-07-21 17:18:43,"3,066s",PASSED
takeFullPageScreenshot(),Chrome 91.0.4472.164,,,2021-07-21 17:18:43,2021-07-21 17:18:46,"3,275s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:18:46,2021-07-21 17:18:49,"3,023s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 91.0.4472.164,Proceso para ver configuración de Selector,,2021-07-21 17:18:49,2021-07-21 17:18:53,"3,475s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:18:53,2021-07-21 17:18:56,"3,012s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.164,,,2021-07-21 17:18:56,2021-07-21 17:18:58,"2,198s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:18:58,2021-07-21 17:19:01,"3,021s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Elementos del Sistema""))",Chrome 91.0.4472.164,,,2021-07-21 17:19:01,2021-07-21 17:19:04,"2,433s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:19:04,2021-07-21 17:19:07,"3,013s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/1Principal/img_Selectores""))",Chrome 91.0.4472.164,,,2021-07-21 17:19:07,2021-07-21 17:19:10,"3,599s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:19:10,2021-07-21 17:19:13,"3,014s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/Selectores/0Lista de Selectores/a_Seleccionar1""))",Chrome 91.0.4472.164,,,2021-07-21 17:19:13,2021-07-21 17:19:14,"1,181s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:19:14,2021-07-21 17:19:17,"3,016s",PASSED
"scrollToPosition(0, 400)",Chrome 91.0.4472.164,,,2021-07-21 17:19:17,2021-07-21 17:19:18,"0,302s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:19:18,2021-07-21 17:19:21,"3,027s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/Selectores/0Pestanas/span_Jornadas y Colas""))",Chrome 91.0.4472.164,,,2021-07-21 17:19:21,2021-07-21 17:19:22,"1,071s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:19:22,2021-07-21 17:19:25,"3,030s",PASSED
takeFullPageScreenshot(),Chrome 91.0.4472.164,,,2021-07-21 17:19:25,2021-07-21 17:19:27,"2,045s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-21 17:19:27,2021-07-21 17:19:30,"3,023s",PASSED
