Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tipo Todos,Chrome 91.0.4472.164,,,2021-07-22 15:43:44,2021-07-22 15:47:15,"3m - 31,136s",PASSED
,,,,,,,
Test Cases/0 Jornadas/Tipo Todos,Chrome 91.0.4472.164,,,2021-07-22 15:43:46,2021-07-22 15:47:15,"3m - 29,412s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 91.0.4472.164,,,2021-07-22 15:43:49,2021-07-22 15:44:18,"29,607s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 91.0.4472.164,,,2021-07-22 15:44:18,2021-07-22 15:44:24,"5,284s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-22 15:44:24,2021-07-22 15:44:27,"3,019s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Jornadas de Atencion""))",Chrome 91.0.4472.164,,,2021-07-22 15:44:27,2021-07-22 15:44:29,"2,466s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-22 15:44:29,2021-07-22 15:44:32,"3,009s",PASSED
"click(findTestObject(""Configuracion/Jornadas de Atencion/0Oficinas Emergente/a_Seleccionar""))",Chrome 91.0.4472.164,,,2021-07-22 15:44:32,2021-07-22 15:44:33,"0,683s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-22 15:44:33,2021-07-22 15:44:36,"3,014s",PASSED
"setText(findTestObject(""Configuracion/Jornadas de Atencion/2Lista de Jornadas/input_TextoABuscar""), ""Todos"")",Chrome 91.0.4472.164,Tipo de Jornada,,2021-07-22 15:44:36,2021-07-22 15:44:37,"1,719s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-22 15:44:37,2021-07-22 15:44:40,"3,019s",PASSED
"click(findTestObject(""Configuracion/Jornadas de Atencion/2Lista de Jornadas/a_Seleccionar""))",Chrome 91.0.4472.164,,,2021-07-22 15:44:40,2021-07-22 15:44:42,"1,436s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-22 15:44:42,2021-07-22 15:44:45,"3,017s",PASSED
"selectOptionByLabel(findTestObject(""Configuracion/Jornadas de Atencion/2Edicion/select_Tipo""), ""Todos"", false)",Chrome 91.0.4472.164,Tipo de Jornada,,2021-07-22 15:44:45,2021-07-22 15:44:47,"2,208s",PASSED
delay(3),Chrome 91.0.4472.164,,,2021-07-22 15:44:47,2021-07-22 15:44:50,"3,021s",PASSED
"scrollToPosition(0, 0)",Chrome 91.0.4472.164,,,2021-07-22 15:44:50,2021-07-22 15:44:50,"0,273s",PASSED
