Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tipo Kiosco,Chrome 92.0.4515.107,,,2021-07-26 09:53:51,2021-07-26 09:56:07,"2m - 16,478s",PASSED
,,,,,,,
Test Cases/0 Jornadas/Tipo Kiosco,Chrome 92.0.4515.107,,,2021-07-26 09:53:52,2021-07-26 09:56:07,"2m - 14,968s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 92.0.4515.107,,,2021-07-26 09:53:54,2021-07-26 09:54:33,"38,614s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.107,,,2021-07-26 09:54:33,2021-07-26 09:54:40,"7,724s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:54:40,2021-07-26 09:54:43,"3,016s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Jornadas de Atencion""))",Chrome 92.0.4515.107,,,2021-07-26 09:54:43,2021-07-26 09:54:49,"5,754s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:54:49,2021-07-26 09:54:52,"3,033s",PASSED
"click(findTestObject(""Configuracion/Jornadas de Atencion/0Oficinas Emergente/a_Seleccionar""))",Chrome 92.0.4515.107,,,2021-07-26 09:54:52,2021-07-26 09:54:53,"1,175s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:54:53,2021-07-26 09:54:56,"3,021s",PASSED
"setText(findTestObject(""Configuracion/Jornadas de Atencion/2Lista de Jornadas/input_TextoABuscar""), ""Kiosco"")",Chrome 92.0.4515.107,Tipo de Jornada,,2021-07-26 09:54:56,2021-07-26 09:54:58,"1,318s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:54:58,2021-07-26 09:55:01,"3,051s",PASSED
"click(findTestObject(""Configuracion/Jornadas de Atencion/2Lista de Jornadas/a_Seleccionar""))",Chrome 92.0.4515.107,,,2021-07-26 09:55:01,2021-07-26 09:55:02,"1,117s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:55:02,2021-07-26 09:55:05,"3,033s",PASSED
"selectOptionByLabel(findTestObject(""Configuracion/Jornadas de Atencion/2Edicion/select_Tipo""), ""Kiosco"", false)",Chrome 92.0.4515.107,Tipo de Jornada,,2021-07-26 09:55:05,2021-07-26 09:55:06,"1,361s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:55:06,2021-07-26 09:55:09,"3,009s",PASSED
"scrollToPosition(0, 0)",Chrome 92.0.4515.107,,,2021-07-26 09:55:09,2021-07-26 09:55:10,"0,313s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:55:10,2021-07-26 09:55:13,"3,028s",PASSED
"click(findTestObject(""Configuracion/Jornadas de Atencion/2Edicion/img_Actualizar2""))",Chrome 92.0.4515.107,,,2021-07-26 09:55:13,2021-07-26 09:55:14,"1,142s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:55:14,2021-07-26 09:55:17,"3,023s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.107,,,2021-07-26 09:55:17,2021-07-26 09:55:20,"3,171s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:55:20,2021-07-26 09:55:23,"3,014s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 92.0.4515.107,Proceso para ver configuración de Terminal,,2021-07-26 09:55:23,2021-07-26 09:55:26,"3,246s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:55:26,2021-07-26 09:55:29,"3,011s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.107,,,2021-07-26 09:55:29,2021-07-26 09:55:32,"3,119s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:55:32,2021-07-26 09:55:35,"3,014s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Elementos del Sistema""))",Chrome 92.0.4515.107,,,2021-07-26 09:55:35,2021-07-26 09:55:38,"3,057s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:55:38,2021-07-26 09:55:41,"3,016s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/1Principal/img_Kioscos""))",Chrome 92.0.4515.107,,,2021-07-26 09:55:41,2021-07-26 09:55:46,"4,485s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:55:46,2021-07-26 09:55:49,"3,043s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/Kioscos/0Oficina_Emergente/a_Seleccionar""))",Chrome 92.0.4515.107,,,2021-07-26 09:55:49,2021-07-26 09:55:51,"1,582s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:55:51,2021-07-26 09:55:54,"3,023s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/Kioscos/2ListaDeKioscos/a_Seleccionar""))",Chrome 92.0.4515.107,,,2021-07-26 09:55:54,2021-07-26 09:55:55,"1,144s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:55:55,2021-07-26 09:55:58,"3,038s",PASSED
"scrollToPosition(0, 1200)",Chrome 92.0.4515.107,,,2021-07-26 09:55:58,2021-07-26 09:55:58,"0,272s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:55:58,2021-07-26 09:56:01,"3,019s",PASSED
"verifyElementVisible(findTestObject(""Configuracion/Elementos del Sistema/Kioscos/3JornadasOficinas/td_Kiosco""))",Chrome 92.0.4515.107,,,2021-07-26 09:56:01,2021-07-26 09:56:02,"0,922s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.107,,,2021-07-26 09:56:02,2021-07-26 09:56:04,"2,259s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 09:56:04,2021-07-26 09:56:07,"3,012s",PASSED
