Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tipo App,Chrome 92.0.4515.107,,,2021-07-26 10:18:49,2021-07-26 10:20:43,"1m - 53,845s",PASSED
,,,,,,,
Test Cases/0 Jornadas/Tipo App,Chrome 92.0.4515.107,,,2021-07-26 10:18:51,2021-07-26 10:20:43,"1m - 52,546s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 92.0.4515.107,,,2021-07-26 10:18:52,2021-07-26 10:19:17,"24,546s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.107,,,2021-07-26 10:19:17,2021-07-26 10:19:18,"1,571s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 10:19:18,2021-07-26 10:19:21,"3,011s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Jornadas de Atencion""))",Chrome 92.0.4515.107,,,2021-07-26 10:19:21,2021-07-26 10:19:24,"2,571s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 10:19:24,2021-07-26 10:19:27,"3,015s",PASSED
"click(findTestObject(""Configuracion/Jornadas de Atencion/0Oficinas Emergente/a_Seleccionar""))",Chrome 92.0.4515.107,,,2021-07-26 10:19:27,2021-07-26 10:19:28,"0,931s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 10:19:28,2021-07-26 10:19:31,"3,020s",PASSED
"setText(findTestObject(""Configuracion/Jornadas de Atencion/2Lista de Jornadas/input_TextoABuscar""), ""App"")",Chrome 92.0.4515.107,Tipo de Jornada,,2021-07-26 10:19:31,2021-07-26 10:19:32,"1,376s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 10:19:32,2021-07-26 10:19:35,"3,012s",PASSED
"click(findTestObject(""Configuracion/Jornadas de Atencion/2Lista de Jornadas/a_Seleccionar""))",Chrome 92.0.4515.107,,,2021-07-26 10:19:35,2021-07-26 10:19:36,"0,942s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 10:19:36,2021-07-26 10:19:39,"3,024s",PASSED
"selectOptionByLabel(findTestObject(""Configuracion/Jornadas de Atencion/2Edicion/select_Tipo""), ""App"", false)",Chrome 92.0.4515.107,Tipo de Jornada,,2021-07-26 10:19:39,2021-07-26 10:19:40,"1,129s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 10:19:40,2021-07-26 10:19:43,"3,022s",PASSED
"scrollToPosition(0, 0)",Chrome 92.0.4515.107,,,2021-07-26 10:19:43,2021-07-26 10:19:44,"0,179s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 10:19:44,2021-07-26 10:19:47,"3,048s",PASSED
"click(findTestObject(""Configuracion/Jornadas de Atencion/2Edicion/img_Actualizar2""))",Chrome 92.0.4515.107,,,2021-07-26 10:19:47,2021-07-26 10:19:48,"1,006s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 10:19:48,2021-07-26 10:19:51,"3,021s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.107,,,2021-07-26 10:19:51,2021-07-26 10:19:53,"2,639s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 10:19:53,2021-07-26 10:19:56,"3,021s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 92.0.4515.107,Proceso para ver configuración de Terminal,,2021-07-26 10:19:56,2021-07-26 10:19:58,"2,101s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 10:19:59,2021-07-26 10:20:02,"3,021s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.107,,,2021-07-26 10:20:02,2021-07-26 10:20:03,"1,627s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 10:20:03,2021-07-26 10:20:06,"3,019s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Elementos del Sistema""))",Chrome 92.0.4515.107,,,2021-07-26 10:20:06,2021-07-26 10:20:08,"1,474s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-26 10:20:08,2021-07-26 10:20:11,"3,021s",PASSED
