Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cierre - Sin,Chrome 92.0.4515.107,Proceso mediante el cual se eliminan todos los motivos de la oficina.,,2021-07-27 10:22:30,2021-07-27 10:24:48,"2m - 17,957s",PASSED
,,,,,,,
Test Cases/0 Motivos/Cierre - Sin,Chrome 92.0.4515.107,,,2021-07-27 10:22:32,2021-07-27 10:24:48,"2m - 16,028s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 92.0.4515.107,,,2021-07-27 10:22:34,2021-07-27 10:23:02,"28,815s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.107,,,2021-07-27 10:23:02,2021-07-27 10:23:05,"2,301s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:23:05,2021-07-27 10:23:08,"3,019s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Elementos del Sistema""))",Chrome 92.0.4515.107,,,2021-07-27 10:23:08,2021-07-27 10:23:09,"1,341s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:23:09,2021-07-27 10:23:12,"3,007s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/1Principal/img_Motivos""))",Chrome 92.0.4515.107,,,2021-07-27 10:23:12,2021-07-27 10:23:14,"1,583s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:23:14,2021-07-27 10:23:17,"3,019s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/Motivos/span_Motivos""))",Chrome 92.0.4515.107,Mostramos los motivos creados,,2021-07-27 10:23:17,2021-07-27 10:23:18,"1,458s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:23:18,2021-07-27 10:23:21,"3,026s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.107,,,2021-07-27 10:23:21,2021-07-27 10:23:24,"2,589s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:23:24,2021-07-27 10:23:27,"3,055s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 92.0.4515.107,,,2021-07-27 10:23:27,2021-07-27 10:23:30,"3,242s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:23:30,2021-07-27 10:23:33,"3,013s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.107,,,2021-07-27 10:23:33,2021-07-27 10:23:35,"1,926s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:23:35,2021-07-27 10:23:38,"3,020s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Distribucion Geografica""))",Chrome 92.0.4515.107,,,2021-07-27 10:23:38,2021-07-27 10:23:41,"2,770s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:23:41,2021-07-27 10:23:44,"3,016s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/1Principal/img_Oficinas""))",Chrome 92.0.4515.107,,,2021-07-27 10:23:44,2021-07-27 10:23:47,"3,251s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:23:47,2021-07-27 10:23:50,"3,016s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Oficinas/2Lista de Oficinas/a_Seleccionar""))",Chrome 92.0.4515.107,,,2021-07-27 10:23:50,2021-07-27 10:23:51,"0,975s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:23:51,2021-07-27 10:23:54,"3,020s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Oficinas/3Otras Configuraciones/1Pestanas/span_Motivos""))",Chrome 92.0.4515.107,Eliminamos los motivos seleccionados de la oficina,,2021-07-27 10:23:54,2021-07-27 10:23:56,"1,513s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:23:56,2021-07-27 10:23:59,"3,011s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Oficinas/3Otras Configuraciones/3Motivos/Checks/a__SeleccionarTodo""))",Chrome 92.0.4515.107,,,2021-07-27 10:23:59,2021-07-27 10:24:00,"0,966s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:24:00,2021-07-27 10:24:03,"3,018s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Oficinas/3Otras Configuraciones/3Motivos/img_Eliminar""))",Chrome 92.0.4515.107,,,2021-07-27 10:24:03,2021-07-27 10:24:04,"1,002s",PASSED
acceptAlert(),Chrome 92.0.4515.107,,,2021-07-27 10:24:04,2021-07-27 10:24:04,"0,547s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.107,,,2021-07-27 10:24:04,2021-07-27 10:24:09,"4,933s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:24:09,2021-07-27 10:24:12,"3,009s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 92.0.4515.107,Abrimos la terminal,,2021-07-27 10:24:12,2021-07-27 10:24:15,"2,995s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:24:15,2021-07-27 10:24:18,"3,020s",PASSED
"click(findTestObject(""1Inicio/img_Operacion""))",Chrome 92.0.4515.107,,,2021-07-27 10:24:18,2021-07-27 10:24:20,"2,391s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:24:20,2021-07-27 10:24:23,"3,025s",PASSED
"click(findTestObject(""2 Operacion/Elementos Del Sistema""))",Chrome 92.0.4515.107,,,2021-07-27 10:24:23,2021-07-27 10:24:26,"2,087s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:24:26,2021-07-27 10:24:29,"3,013s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/img_Terminales""))",Chrome 92.0.4515.107,,,2021-07-27 10:24:29,2021-07-27 10:24:31,"2,442s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:24:31,2021-07-27 10:24:34,"3,009s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/00Oficinas/a_Bogota - CIEL""))",Chrome 92.0.4515.107,,,2021-07-27 10:24:34,2021-07-27 10:24:35,"1,107s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:24:35,2021-07-27 10:24:38,"3,019s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/1Terminales menos WorkFlow/a_Terminal Informacion A01""))",Chrome 92.0.4515.107,,,2021-07-27 10:24:38,2021-07-27 10:24:40,"1,624s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:24:40,2021-07-27 10:24:43,"3,016s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.107,,,2021-07-27 10:24:43,2021-07-27 10:24:45,"1,820s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:24:45,2021-07-27 10:24:48,"3,048s",PASSED
