Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cierre - Con,Chrome 92.0.4515.107,Proceso mediante el cual se escogen los motivos de cierre en una oficina y posteriormente se abre la terminal y luego se cierre y se ven los motivos de cierre.,,2021-07-27 10:52:31,2021-07-27 10:54:54,"2m - 22,461s",PASSED
,,,,,,,
Test Cases/0 Motivos/Cierre - Con,Chrome 92.0.4515.107,,,2021-07-27 10:52:33,2021-07-27 10:54:54,"2m - 20,967s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 92.0.4515.107,,,2021-07-27 10:52:34,2021-07-27 10:52:58,"23,688s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.107,,,2021-07-27 10:52:58,2021-07-27 10:53:00,"1,454s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:53:00,2021-07-27 10:53:03,"3,019s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Elementos del Sistema""))",Chrome 92.0.4515.107,,,2021-07-27 10:53:03,2021-07-27 10:53:04,"1,626s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:53:04,2021-07-27 10:53:07,"3,011s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/1Principal/img_Motivos""))",Chrome 92.0.4515.107,,,2021-07-27 10:53:07,2021-07-27 10:53:09,"1,767s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:53:09,2021-07-27 10:53:12,"3,014s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/Motivos/span_Motivos""))",Chrome 92.0.4515.107,Mostramos los motivos creados,,2021-07-27 10:53:12,2021-07-27 10:53:13,"1,000s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-27 10:53:13,2021-07-27 10:53:16,"3,013s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.107,,,2021-07-27 10:53:16,2021-07-27 10:53:18,"2,178s",PASSED
