Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suspension - Sin,Chrome 92.0.4515.107,,,2021-07-28 09:09:26,2021-07-28 09:11:31,"2m - 4,445s",FAILED
,,,,,,,
Test Cases/0 Motivos/Suspension - Sin,Chrome 92.0.4515.107,,,2021-07-28 09:09:28,2021-07-28 09:11:31,"2m - 2,588s",FAILED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 92.0.4515.107,,,2021-07-28 09:09:30,2021-07-28 09:10:12,"41,393s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.107,,,2021-07-28 09:10:12,2021-07-28 09:10:14,"2,348s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:10:14,2021-07-28 09:10:17,"3,024s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Elementos del Sistema""))",Chrome 92.0.4515.107,,,2021-07-28 09:10:17,2021-07-28 09:10:20,"2,934s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:10:20,2021-07-28 09:10:23,"3,020s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/1Principal/img_Motivos""))",Chrome 92.0.4515.107,,,2021-07-28 09:10:23,2021-07-28 09:10:26,"3,304s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:10:26,2021-07-28 09:10:29,"3,009s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/Motivos/span_Motivos""))",Chrome 92.0.4515.107,Mostramos los motivos creados,,2021-07-28 09:10:29,2021-07-28 09:10:31,"1,199s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:10:31,2021-07-28 09:10:34,"3,030s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.107,,,2021-07-28 09:10:34,2021-07-28 09:10:38,"4,224s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:10:38,2021-07-28 09:10:41,"3,058s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 92.0.4515.107,,,2021-07-28 09:10:41,2021-07-28 09:10:44,"3,444s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:10:44,2021-07-28 09:10:47,"3,023s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.107,,,2021-07-28 09:10:47,2021-07-28 09:10:49,"1,974s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:10:49,2021-07-28 09:10:52,"3,016s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Distribucion Geografica""))",Chrome 92.0.4515.107,,,2021-07-28 09:10:52,2021-07-28 09:10:55,"3,128s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:10:55,2021-07-28 09:10:58,"3,019s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/1Principal/img_Oficinas""))",Chrome 92.0.4515.107,,,2021-07-28 09:10:58,2021-07-28 09:11:03,"4,668s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:11:03,2021-07-28 09:11:06,"3,023s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Oficinas/2Lista de Oficinas/a_Seleccionar""))",Chrome 92.0.4515.107,,,2021-07-28 09:11:06,2021-07-28 09:11:08,"2,130s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:11:08,2021-07-28 09:11:11,"3,013s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Oficinas/3Otras Configuraciones/1Pestanas/span_Motivos""))",Chrome 92.0.4515.107,Agregamos Motivos de Cierre,,2021-07-28 09:11:11,2021-07-28 09:11:13,"1,522s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:11:13,2021-07-28 09:11:16,"3,031s",PASSED
"setText(findTestObject(""Configuracion/Distribucion Geografica/Oficinas/3Otras Configuraciones/3Motivos/Checks/input_TextoABuscar""), ""Suspensión"")",Chrome 92.0.4515.107,,,2021-07-28 09:11:16,2021-07-28 09:11:18,"1,826s",PASSED
"sendKeys(findTestObject(""Configuracion/Distribucion Geografica/Oficinas/3Otras Configuraciones/3Motivos/Checks/input_TextoABuscar""), Keys.chord(ENTER))",Chrome 92.0.4515.107,,,2021-07-28 09:11:18,2021-07-28 09:11:19,"0,876s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:11:19,2021-07-28 09:11:22,"3,016s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Oficinas/3Otras Configuraciones/3Motivos/Checks/a__SeleccionarTodo""))",Chrome 92.0.4515.107,,,2021-07-28 09:11:22,2021-07-28 09:11:23,"1,311s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:11:23,2021-07-28 09:11:26,"3,019s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Oficinas/3Otras Configuraciones/3Motivos/img_Eliminar""))",Chrome 92.0.4515.107,,,2021-07-28 09:11:26,2021-07-28 09:11:27,"1,078s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:11:27,2021-07-28 09:11:30,"3,027s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.107,,,2021-07-28 09:11:30,2021-07-28 09:11:31,"0,536s",FAILED
