Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Suspension -Con,Chrome 92.0.4515.107,Proceso en el cual se relacionan los motivos de suspensión con una oficina y posteriormente en la terminala aparecerá el botón de Suspender.,,2021-07-28 09:34:23,2021-07-28 09:37:19,"2m - 56,434s",PASSED
,,,,,,,
Test Cases/0 Motivos/Suspension - Con,Chrome 92.0.4515.107,Proceso en el cual se muestra los motivos de suspension asociados a la oficina en la terminal,,2021-07-28 09:34:24,2021-07-28 09:37:19,"2m - 54,910s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 92.0.4515.107,,,2021-07-28 09:34:26,2021-07-28 09:34:52,"25,671s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.107,,,2021-07-28 09:34:52,2021-07-28 09:34:55,"3,430s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:34:55,2021-07-28 09:34:58,"3,017s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Elementos del Sistema""))",Chrome 92.0.4515.107,,,2021-07-28 09:34:58,2021-07-28 09:34:59,"1,437s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:34:59,2021-07-28 09:35:02,"3,018s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/1Principal/img_Motivos""))",Chrome 92.0.4515.107,,,2021-07-28 09:35:02,2021-07-28 09:35:04,"1,769s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:35:04,2021-07-28 09:35:07,"3,026s",PASSED
"click(findTestObject(""Configuracion/Elementos del Sistema/Motivos/span_Motivos""))",Chrome 92.0.4515.107,Mostramos los motivos creados,,2021-07-28 09:35:07,2021-07-28 09:35:09,"1,292s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:35:09,2021-07-28 09:35:12,"3,075s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.107,,,2021-07-28 09:35:12,2021-07-28 09:35:14,"2,712s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:35:14,2021-07-28 09:35:17,"3,017s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 92.0.4515.107,,,2021-07-28 09:35:17,2021-07-28 09:35:21,"3,678s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:35:21,2021-07-28 09:35:24,"3,044s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.107,,,2021-07-28 09:35:24,2021-07-28 09:35:27,"2,684s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:35:27,2021-07-28 09:35:30,"3,036s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Distribucion Geografica""))",Chrome 92.0.4515.107,,,2021-07-28 09:35:30,2021-07-28 09:35:34,"3,908s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:35:34,2021-07-28 09:35:37,"3,009s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/1Principal/img_Oficinas""))",Chrome 92.0.4515.107,,,2021-07-28 09:35:37,2021-07-28 09:35:41,"3,945s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:35:41,2021-07-28 09:35:44,"3,015s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Oficinas/2Lista de Oficinas/a_Seleccionar""))",Chrome 92.0.4515.107,,,2021-07-28 09:35:44,2021-07-28 09:35:45,"1,170s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:35:45,2021-07-28 09:35:48,"3,022s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Oficinas/3Otras Configuraciones/1Pestanas/span_Motivos""))",Chrome 92.0.4515.107,Agregamos Motivos de Suspensión,,2021-07-28 09:35:48,2021-07-28 09:35:50,"2,528s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-07-28 09:35:50,2021-07-28 09:35:53,"3,025s",PASSED
