Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
0 Atributos MPC,Chrome 92.0.4515.107,,,2021-08-03 13:10:44,2021-08-03 13:15:31,"4m - 46,840s",PASSED
,,,,,,,
Test Cases/0 Atributos MPC,Chrome 92.0.4515.107,,,2021-08-03 13:10:45,2021-08-03 13:15:31,"4m - 45,467s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 92.0.4515.107,,,2021-08-03 13:10:47,2021-08-03 13:11:20,"32,640s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.107,,,2021-08-03 13:11:20,2021-08-03 13:11:23,"2,790s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:11:23,2021-08-03 13:11:26,"3,012s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Seguridad""))",Chrome 92.0.4515.107,,,2021-08-03 13:11:26,2021-08-03 13:11:27,"1,361s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:11:27,2021-08-03 13:11:30,"3,020s",PASSED
"click(findTestObject(""Configuracion/Seguridad/img_Usuarios""))",Chrome 92.0.4515.107,,,2021-08-03 13:11:30,2021-08-03 13:11:32,"1,340s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:11:32,2021-08-03 13:11:35,"3,021s",PASSED
"click(findTestObject(""Configuracion/Seguridad/Usuarios/1Principal/img_Atributos""))",Chrome 92.0.4515.107,,,2021-08-03 13:11:35,2021-08-03 13:11:36,"1,470s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:11:36,2021-08-03 13:11:39,"3,029s",PASSED
"click(findTestObject(""Configuracion/Seguridad/Usuarios/Atributos/2Lista de Niveles/a_Seleccionar1""))",Chrome 92.0.4515.107,,,2021-08-03 13:11:39,2021-08-03 13:11:41,"1,637s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:11:41,2021-08-03 13:11:44,"3,027s",PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Chrome 92.0.4515.107,Captura de los atributos creados,,2021-08-03 13:11:44,2021-08-03 13:11:47,"3,021s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:11:47,2021-08-03 13:11:50,"3,015s",PASSED
back(),Chrome 92.0.4515.107,,,2021-08-03 13:11:50,2021-08-03 13:11:52,"2,015s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:11:52,2021-08-03 13:11:55,"3,026s",PASSED
"click(findTestObject(""Configuracion/Seguridad/Usuarios/1Principal/img_Consultar Usuarios""))",Chrome 92.0.4515.107,,,2021-08-03 13:11:55,2021-08-03 13:11:58,"2,703s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:11:58,2021-08-03 13:12:01,"3,025s",PASSED
"setText(findTestObject(""Configuracion/Seguridad/Usuarios/Consultar Usuarios/1Filtro por Nombre de usuario/input__TextoABuscar""), ""Jaime"")",Chrome 92.0.4515.107,,,2021-08-03 13:12:01,2021-08-03 13:12:02,"1,659s",PASSED
"click(findTestObject(""Configuracion/Seguridad/Usuarios/Consultar Usuarios/1Filtro por Nombre de usuario/img_Filtrar""))",Chrome 92.0.4515.107,,,2021-08-03 13:12:02,2021-08-03 13:12:05,"2,695s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:12:05,2021-08-03 13:12:08,"3,022s",PASSED
"click(findTestObject(""Configuracion/Seguridad/Usuarios/Consultar Usuarios/1Filtro por Nombre de usuario/span_admin""))",Chrome 92.0.4515.107,,,2021-08-03 13:12:08,2021-08-03 13:12:12,"3,542s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:12:12,2021-08-03 13:12:15,"3,023s",PASSED
takeFullPageScreenshot(STOP_ON_FAILURE),Chrome 92.0.4515.107,Captura de los atributos asignados al Usuario Jaime,,2021-08-03 13:12:15,2021-08-03 13:12:16,"1,531s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:12:16,2021-08-03 13:12:19,"3,022s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 92.0.4515.107,,,2021-08-03 13:12:19,2021-08-03 13:12:22,"3,023s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:12:22,2021-08-03 13:12:25,"3,013s",PASSED
"click(findTestObject(""1Inicio/img_Operacion""))",Chrome 92.0.4515.107,,,2021-08-03 13:12:25,2021-08-03 13:12:28,"2,416s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:12:28,2021-08-03 13:12:31,"3,038s",PASSED
"click(findTestObject(""2 Operacion/Elementos Del Sistema""))",Chrome 92.0.4515.107,,,2021-08-03 13:12:31,2021-08-03 13:12:34,"3,029s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:12:34,2021-08-03 13:12:37,"3,016s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/img_Selectores""))",Chrome 92.0.4515.107,,,2021-08-03 13:12:37,2021-08-03 13:12:39,"2,867s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:12:39,2021-08-03 13:12:43,"3,033s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/00Oficinas/a_Bogota - CIEL""))",Chrome 92.0.4515.107,Escogemos oficina,,2021-08-03 13:12:43,2021-08-03 13:12:44,"1,558s",PASSED
delay(3),Chrome 92.0.4515.107,,,2021-08-03 13:12:44,2021-08-03 13:12:47,"3,010s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/0 Lista de Selectores/a_Abrir Selector""))",Chrome 92.0.4515.107,Abrimos selector,,2021-08-03 13:12:47,2021-08-03 13:12:49,"1,516s",PASSED
delay(5),Chrome 92.0.4515.107,,,2021-08-03 13:12:49,2021-08-03 13:12:54,"5,015s",PASSED
switchToWindowIndex(1),Chrome 92.0.4515.107,Para ir a la ventana del selector abierto,,2021-08-03 13:12:54,2021-08-03 13:12:55,"1,731s",PASSED
delay(2),Chrome 92.0.4515.107,,,2021-08-03 13:12:55,2021-08-03 13:12:57,"2,051s",PASSED
maximizeWindow(),Chrome 92.0.4515.107,,,2021-08-03 13:12:57,2021-08-03 13:12:59,"1,174s",PASSED
