Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Gestion Turnos,Chrome 92.0.4515.131,"Proceso mediante el cual se genera el turno para un usuario con determinados atributos y luego en gestión de turnos, se realiza el cambio del turno para otro usuario.",,2021-08-05 08:19:06,2021-08-05 08:26:20,"7m - 14,762s",PASSED
,,,,,,,
Test Cases/0 Atributos/Gestion Turnos,Chrome 92.0.4515.131,,,2021-08-05 08:19:08,2021-08-05 08:26:20,"7m - 12,427s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 92.0.4515.131,,,2021-08-05 08:19:11,2021-08-05 08:21:11,"2m - 0,500s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.131,,,2021-08-05 08:21:11,2021-08-05 08:21:58,"46,865s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 08:21:58,2021-08-05 08:22:01,"3,017s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Seguridad""))",Chrome 92.0.4515.131,,,2021-08-05 08:22:01,2021-08-05 08:22:04,"3,482s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 08:22:04,2021-08-05 08:22:07,"3,021s",PASSED
"click(findTestObject(""Configuracion/Seguridad/img_Usuarios""))",Chrome 92.0.4515.131,,,2021-08-05 08:22:07,2021-08-05 08:22:11,"3,704s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 08:22:11,2021-08-05 08:22:14,"3,018s",PASSED
"click(findTestObject(""Configuracion/Seguridad/Usuarios/1Principal/img_Consultar Usuarios""))",Chrome 92.0.4515.131,,,2021-08-05 08:22:14,2021-08-05 08:22:20,"5,578s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 08:22:20,2021-08-05 08:22:23,"3,031s",PASSED
"setText(findTestObject(""Configuracion/Seguridad/Usuarios/Consultar Usuarios/1Filtro por Nombre de usuario/input__TextoABuscar""), ""Jaime"")",Chrome 92.0.4515.131,,,2021-08-05 08:22:23,2021-08-05 08:22:25,"1,928s",PASSED
"click(findTestObject(""Configuracion/Seguridad/Usuarios/Consultar Usuarios/1Filtro por Nombre de usuario/img_Filtrar""))",Chrome 92.0.4515.131,,,2021-08-05 08:22:25,2021-08-05 08:22:28,"3,253s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 08:22:28,2021-08-05 08:22:31,"3,043s",PASSED
