Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
1 Transferencia de turnos en la actual,Chrome 92.0.4515.131,,,2021-08-05 11:48:17,2021-08-05 11:51:56,"3m - 38,975s",PASSED
,,,,,,,
Test Cases/1 Transferencia de Turnos en la actual,Chrome 92.0.4515.131,,,2021-08-05 11:48:18,2021-08-05 11:51:56,"3m - 37,777s",PASSED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 92.0.4515.131,,,2021-08-05 11:48:21,2021-08-05 11:48:45,"24,754s",PASSED
"click(findTestObject(""1Inicio/img_Configuracion""))",Chrome 92.0.4515.131,,,2021-08-05 11:48:45,2021-08-05 11:48:47,"1,958s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 11:48:47,2021-08-05 11:48:50,"3,016s",PASSED
"click(findTestObject(""Configuracion/1Principal/img_Distribucion Geografica""))",Chrome 92.0.4515.131,,,2021-08-05 11:48:50,2021-08-05 11:48:52,"1,778s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 11:48:52,2021-08-05 11:48:55,"3,018s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/1Principal/img_Grupos""))",Chrome 92.0.4515.131,,,2021-08-05 11:48:55,2021-08-05 11:48:57,"1,437s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 11:48:57,2021-08-05 11:49:00,"3,051s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Grupos/0Oficinas Emergente/a_Seleccionar""))",Chrome 92.0.4515.131,,,2021-08-05 11:49:00,2021-08-05 11:49:01,"0,924s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 11:49:01,2021-08-05 11:49:04,"3,026s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Grupos/Lista de Grupos/0General/a_Seleccionar""))",Chrome 92.0.4515.131,Grupo Información,,2021-08-05 11:49:04,2021-08-05 11:49:05,"0,976s",PASSED
"scrollToPosition(0, 300)",Chrome 92.0.4515.131,,,2021-08-05 11:49:05,2021-08-05 11:49:05,"0,256s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 11:49:05,2021-08-05 11:49:08,"3,008s",PASSED
"selectOptionByLabel(findTestObject(""Configuracion/Distribucion Geografica/Grupos/Edicion/select_TransferenciaTurnosEnLaActual""), ""Sala"", false)",Chrome 92.0.4515.131,,,2021-08-05 11:49:08,2021-08-05 11:49:09,"1,339s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 11:49:09,2021-08-05 11:49:12,"3,029s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.131,,,2021-08-05 11:49:12,2021-08-05 11:49:15,"2,452s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 11:49:15,2021-08-05 11:49:18,"3,032s",PASSED
"click(findTestObject(""Configuracion/Distribucion Geografica/Grupos/Botones/img_Actualizar""))",Chrome 92.0.4515.131,,,2021-08-05 11:49:18,2021-08-05 11:49:19,"0,905s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 11:49:19,2021-08-05 11:49:22,"3,014s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 92.0.4515.131,,,2021-08-05 11:49:22,2021-08-05 11:49:24,"1,929s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 11:49:24,2021-08-05 11:49:27,"3,014s",PASSED
"click(findTestObject(""1Inicio/img_Operacion""))",Chrome 92.0.4515.131,,,2021-08-05 11:49:27,2021-08-05 11:49:28,"1,547s",PASSED
