Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Transferir en Terminal,Chrome 92.0.4515.131,,,2021-08-05 12:25:55,2021-08-05 12:29:23,"3m - 28,142s",FAILED
,,,,,,,
Test Cases/0 Atributos/Transferir en Terminal,Chrome 92.0.4515.131,,,2021-08-05 12:25:56,2021-08-05 12:29:23,"3m - 26,898s",FAILED
"callTestCase(findTestCase(""Inicio Sesion sin variables""), [:], STOP_ON_FAILURE)",Chrome 92.0.4515.131,,,2021-08-05 12:25:58,2021-08-05 12:26:26,"28,399s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:26:26,2021-08-05 12:26:29,"3,078s",PASSED
"click(findTestObject(""1Inicio/img_Operacion""))",Chrome 92.0.4515.131,,,2021-08-05 12:26:29,2021-08-05 12:26:31,"1,354s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:26:31,2021-08-05 12:26:34,"3,023s",PASSED
"click(findTestObject(""2 Operacion/Elementos Del Sistema""))",Chrome 92.0.4515.131,,,2021-08-05 12:26:34,2021-08-05 12:26:35,"1,430s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:26:35,2021-08-05 12:26:38,"3,030s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/img_Selectores""))",Chrome 92.0.4515.131,,,2021-08-05 12:26:38,2021-08-05 12:26:41,"2,494s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:26:41,2021-08-05 12:26:44,"3,012s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/00Oficinas/a_Bogota - CIEL""))",Chrome 92.0.4515.131,,,2021-08-05 12:26:44,2021-08-05 12:26:45,"1,268s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:26:45,2021-08-05 12:26:48,"3,041s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/0 Lista de Selectores/a_Abrir Selector""))",Chrome 92.0.4515.131,Abrimos selector,,2021-08-05 12:26:48,2021-08-05 12:26:50,"1,593s",PASSED
delay(5),Chrome 92.0.4515.131,,,2021-08-05 12:26:50,2021-08-05 12:26:55,"5,026s",PASSED
switchToWindowIndex(1),Chrome 92.0.4515.131,Para ir a la ventana del selector abierto,,2021-08-05 12:26:55,2021-08-05 12:26:55,"0,526s",PASSED
delay(2),Chrome 92.0.4515.131,,,2021-08-05 12:26:55,2021-08-05 12:26:57,"2,028s",PASSED
maximizeWindow(),Chrome 92.0.4515.131,,,2021-08-05 12:26:57,2021-08-05 12:26:58,"0,854s",PASSED
delay(2),Chrome 92.0.4515.131,,,2021-08-05 12:26:58,2021-08-05 12:27:00,"2,011s",PASSED
"setText(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/2 Escoger por jerarquia/input_Escoger por Jerarqua2""), ""info"")",Chrome 92.0.4515.131,,,2021-08-05 12:27:00,2021-08-05 12:27:02,"2,293s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:27:02,2021-08-05 12:27:05,"3,014s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/2 Escoger por jerarquia/a_WIZ Informacion General""))",Chrome 92.0.4515.131,,,2021-08-05 12:27:05,2021-08-05 12:27:07,"1,197s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:27:07,2021-08-05 12:27:10,"3,013s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.131,Captura del turno generado,,2021-08-05 12:27:10,2021-08-05 12:27:12,"2,717s",PASSED
delay(2),Chrome 92.0.4515.131,,,2021-08-05 12:27:12,2021-08-05 12:27:14,"2,037s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/4 Generar Turno/img_Con Impresion""))",Chrome 92.0.4515.131,,,2021-08-05 12:27:14,2021-08-05 12:27:15,"1,095s",PASSED
delay(1),Chrome 92.0.4515.131,,,2021-08-05 12:27:15,2021-08-05 12:27:16,"1,020s",PASSED
takeFullPageScreenshot(),Chrome 92.0.4515.131,Captura del turno generado,,2021-08-05 12:27:16,2021-08-05 12:27:20,"3,613s",PASSED
delay(2),Chrome 92.0.4515.131,,,2021-08-05 12:27:20,2021-08-05 12:27:22,"2,034s",PASSED
switchToWindowIndex(0),Chrome 92.0.4515.131,Cambiamos a la ventana principal,,2021-08-05 12:27:22,2021-08-05 12:27:22,"0,388s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:27:22,2021-08-05 12:27:26,"3,013s",PASSED
"click(findTestObject(""1Inicio/a_Inicio""))",Chrome 92.0.4515.131,,,2021-08-05 12:27:26,2021-08-05 12:27:29,"3,266s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:27:29,2021-08-05 12:27:32,"3,036s",PASSED
"click(findTestObject(""1Inicio/img_Operacion""))",Chrome 92.0.4515.131,,,2021-08-05 12:27:32,2021-08-05 12:27:35,"3,268s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:27:35,2021-08-05 12:27:38,"3,038s",PASSED
"click(findTestObject(""2 Operacion/Elementos Del Sistema""))",Chrome 92.0.4515.131,,,2021-08-05 12:27:38,2021-08-05 12:27:41,"2,580s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:27:41,2021-08-05 12:27:44,"3,016s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/img_Terminales""))",Chrome 92.0.4515.131,,,2021-08-05 12:27:44,2021-08-05 12:27:46,"2,658s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:27:46,2021-08-05 12:27:49,"3,018s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Selectores/00Oficinas/a_Bogota - CIEL""))",Chrome 92.0.4515.131,,,2021-08-05 12:27:49,2021-08-05 12:27:51,"1,166s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:27:51,2021-08-05 12:27:54,"3,015s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/1Terminales menos WorkFlow/a_Terminal Informacion A01""))",Chrome 92.0.4515.131,Abrimos Terminal,,2021-08-05 12:27:54,2021-08-05 12:27:55,"1,128s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:27:55,2021-08-05 12:27:58,"3,044s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Basicas/img_Llamar""))",Chrome 92.0.4515.131,,,2021-08-05 12:27:58,2021-08-05 12:28:04,"6,495s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:28:04,2021-08-05 12:28:07,"3,024s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Basicas/img_Ocupado""))",Chrome 92.0.4515.131,,,2021-08-05 12:28:07,2021-08-05 12:28:12,"4,274s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:28:12,2021-08-05 12:28:15,"3,045s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Basicas/imgOcupado/a_Actualizacion de Datos""))",Chrome 92.0.4515.131,,,2021-08-05 12:28:15,2021-08-05 12:28:16,"1,532s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:28:16,2021-08-05 12:28:19,"3,019s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Adicionales/img_Transferir""))",Chrome 92.0.4515.131,,,2021-08-05 12:28:19,2021-08-05 12:28:20,"1,206s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:28:20,2021-08-05 12:28:23,"3,026s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Adicionales/imgTransferir/Destino de Transferencia/0 Especialidades/a_select""))",Chrome 92.0.4515.131,,,2021-08-05 12:28:23,2021-08-05 12:28:25,"1,132s",PASSED
"check(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Adicionales/imgTransferir/Destino de Transferencia/0 Especialidades/chk_Cirujanos""))",Chrome 92.0.4515.131,,,2021-08-05 12:28:25,2021-08-05 12:28:26,"1,763s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Adicionales/imgTransferir/Destino de Transferencia/0 Especialidades/a_select""))",Chrome 92.0.4515.131,,,2021-08-05 12:28:26,2021-08-05 12:28:27,"1,104s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:28:27,2021-08-05 12:28:30,"3,019s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Adicionales/imgTransferir/Destino de Transferencia/1 Profesionales/a_select""))",Chrome 92.0.4515.131,,,2021-08-05 12:28:30,2021-08-05 12:28:31,"1,029s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Adicionales/imgTransferir/Destino de Transferencia/1 Profesionales/a_select""))",Chrome 92.0.4515.131,,,2021-08-05 12:28:31,2021-08-05 12:28:33,"1,759s",PASSED
"check(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Adicionales/imgTransferir/Destino de Transferencia/1 Profesionales/chk_Cardiologo""))",Chrome 92.0.4515.131,,,2021-08-05 12:28:33,2021-08-05 12:28:34,"1,255s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Adicionales/imgTransferir/Destino de Transferencia/1 Profesionales/a_select""))",Chrome 92.0.4515.131,,,2021-08-05 12:28:34,2021-08-05 12:28:36,"1,570s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:28:36,2021-08-05 12:28:39,"3,019s",PASSED
"click(findTestObject(""2 Operacion/Elementos del Sistema/Terminales/Terminal/Funciones Adicionales/imgTransferir/Destino de Transferencia/2 Usuario/select_Usuario""))",Chrome 92.0.4515.131,,,2021-08-05 12:28:39,2021-08-05 12:28:41,"2,194s",PASSED
delay(3),Chrome 92.0.4515.131,,,2021-08-05 12:28:41,2021-08-05 12:28:44,"3,017s",PASSED
